First Name,Last Name,White,Black,Asian,Other,Highest Prob. Score
Gail,Brager,0.9983744621276855,3.888569335686043e-05,0.00014859612656437093,0.0014380003558471799,White
Ellen,Kersten,0.9997077584266663,1.3292803942022147e-06,3.264254502255426e-06,0.00028762343936250545,White
Miguel,Arratia,0.13645713031291962,0.0015443965094164014,0.045999826630577445,0.8159986585378647,Other
Kathryn,Leonard,0.9173619151115417,1.5763082501507597e-06,0.00040954519499791786,0.08222692762501538,White
Michael,Soltys,0.18848392367362976,0.00011537407408468425,0.0005961632487014867,0.8108044839464128,Other
Garrett,Liles,0.9997413754463196,1.0018953844337375e-06,1.9505243699313723e-05,0.00023809460253687575,White
Jaime,Raigoza,0.15402843058109283,0.00013295398093760014,0.0729837988037616,0.7728548087179661,Other
Noriyuki,Sato,0.06956929713487625,7.917829498182982e-05,0.8770463865657803,0.05330516863614321,Asian
Lisa,Ott,0.9961973428726196,1.2074068763467949e-05,4.3125087358930614e-05,0.0037474874407052994,White
Samuel,Sandoval,0.5677477121353149,0.0002544054586905986,0.015883998246863484,0.4161138944327831,White
Catherine,Brinkley,0.9997679591178894,6.842412858532043e-07,8.587243883084739e-06,0.00022266248561209068,White
Peter,Hernes,0.9541610479354858,5.85741872782819e-05,0.0016987296476145275,0.04408164508640766,White
Ygal,Achmon,0.38113924860954285,6.753189518349245e-05,0.0013053818402113393,0.6174877732992172,Other
Karen,LeGrand,0.9664070010185242,4.022018765681423e-05,0.000262441585164197,0.03329036105424166,White
Patrick,Still,1.1299226571281906e-05,0.9988260865211487,0.0008299772284772189,0.0003325513657728152,Black
Philip,Vieira,0.9922882318496704,7.32104626877117e-06,7.784247691233759e-05,0.007626533159054816,White
Ximena,Cid,0.14377517998218536,0.03271595388650894,0.051024972286541015,0.7724839299917221,Other
Arnab,Mukherjea,0.0009831927018240094,0.007740585133433342,0.9191224750829861,0.07215372548671439,Asian
Natalie,Ingraham,0.9879381060600281,5.5351874834741466e-06,0.00010492539104234311,0.011951428838074207,White
