first ,last,discipline,Dept. ,title,CSU/UC,campus,#proj,Image
Joshua,Cotter,Exercise Physiology,Kinesiology,Assistant Professor,CSU,Long Beach,11,https://www.csulb.edu/sites/default/files/groups/instructional-design/joshua-cotter.png
Kristina,Lovato,Social Welfare,Social Work,Assistant Professor,CSU,Long Beach,1,https://www.csulb.edu/sites/default/files/styles/profile_image/public/profile/hermann_portrait_img_0897-3.jpg?itok=OFzU3XF6
Sara,Nourazari,Industrial Engineering and Operations Research,Health Care Administeration,Assistant Professor,CSU,Long Beach,4,https://www.csulb.edu/sites/default/files/styles/profile_image/public/profile/sara_nourazari-chhs.jpg?itok=Yc6xSejl
May Ling,Halim,Psychology,Psychology,Associate Professor,CSU,Long Beach,4,N\A
Arturo,Zavala,Behavioral Neuroscience,Psychology,Associate Professor,CSU,Long Beach,,https://www.the-nhsn.org/members/images/zavala%20headshot.jpg
Gwen,Shaffer,Communications  (focus on telecommunications policy),Journalism and Public Relations,Associate Professor,CSU,Long Beach,4,https://cla.csulb.edu/departments/journalism/wp-content/uploads/2018/08/Dr-Gwen-Shaffer-Copy-256x300.jpg
Paul,Laris,Geography,Geography,Full Professor,CSU,Long Beach,4,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/13329205_1803572259873197_2012557411_n.jpg?stp=c80.0.480.480a_dst-jpg_e35&_nc_ht=scontent-sjc3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=HBQZfORIu-8AX99a_1Y&edm=ABfd0MgBAAAA&ccb=7-4&oh=00_AT_GcCIf1CocYXR0qTgwfcHtJZQAn-ts1yLVJKK-RHVDRA&oe=626C3BDC&_nc_sid=7bff83
Iveris,Martinez,Anthropology and Public Health,"Center for Successful Aging/Family and Consumer Sciences, Division of Gerontology",Full Professor,CSU,Long Beach,5,https://www.csulb.edu/sites/default/files/styles/profile_image/public/profile/iveris_martinez.jpg?itok=xLgfZd2D
Jingjing,Li,Civil Engineering,Geosciences and Environment,Assistant Professor,CSU,Los Angeles,3,https://www.calstatela.edu/sites/default/files/images/profiles/li090414_01_copy.jpg
Ximin,He,Chemistry,Materials Science and Engineering,Assistant Professor,UC,Los Angeles,5,https://samueli.ucla.edu/wp-content/uploads/samueli/he_ximin_hero.jpg
Jennie,Grammer,Psychology,The Graduate School of Education and Information Studies,Assistant Professor,UC,Los Angeles,3,https://arch.gseis.ucla.edu/media/Grammer.jpg
Nicole,Valenzuela,Cellular and Molecular Pathology,Pathology and Laboratory Medicine,Assistant Professor,UC,Los Angeles,,https://www.uclahealth.org/pathology/images/Research%20Services/NicoleValenzuela.jpg
Susanne,Nicholas,"MD, MPH,PhD- Medicine/Nephrology, Public Health, Physiology",Medicine,Associate Professor,UC,Los Angeles,5,https://www.uclahealth.org/sites/default/files/styles/portrait_3x4_008000_240x320/public/images/nicholas-susanne-1972523512.jpg?h=8a019425&itok=7Tqary0f
Ulrike,Seibt,Geosciences,Atmospheric and Oceanic Sciences,Associate Professor,UC,Los Angeles,4,https://atmos.ucla.edu/sites/default/files/styles/person_full/public/person_images/useibt.jpg?itok=5bngiys4
Richard,Wirz,"PhD, Engineering & Applied Sciences (Caltech)",Mechanical & Aerospace Engineering,Associate Professor,UC,Los Angeles,20,https://samueli.ucla.edu/wp-content/uploads/samueli/wirz-in-lab-photo-hero.png
Jessica,Gipson,Public Health,Community Health Sciences,Associate Professor,UC,Los Angeles,2,https://ph.ucla.edu/sites/default/files/styles/medium_left/public/images/faculty/2019-9-3-Provided%20by%20Gipson.jpg?itok=1M04dCzw
Daniela,Cusack,PhD in Ecosystem Ecology,Geography,Associate Professor,UC,Los Angeles,2,N\A
Shih Lung,Woo,PhD in Nutrition,Center for Human Nutrition,Post-Doctoral Scholar,UC,Los Angeles,1,N\A
SONGYI,BAE,Natural Product Sciences,Bioengineering,Post-Doctoral Scholar,UC,Los Angeles,7,N\A
Gordana,Halec,PhD in Biology,Department of Pediatrics,Post-Doctoral Scholar,UC,Los Angeles,4,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=R6AFCdUAAAAJ&citpid=3
Raleigh,Martin,Geology,Atmospheric and Oceanic Sciences,Post-Doctoral Scholar,UC,Los Angeles,4,https://0.academia-photos.com/26743527/7461453/8384071/s200_raleigh.martin.jpg_oh_b6b3e8f0b718db91b499dcab7000b9a8_oe_5591cb8a___gda___1435233051_86aa919f0f1443cca84061cba6ea6ebc
David,Goodman-Meza,"MD, MAS in clinical research",Infectious Diseases,Post-Doctoral Scholar,UC,Los Angeles,2,https://chipts.ucla.edu/wp-content/uploads/2019/02/David-Goodman-Meza-e1611172476429.jpg
Katherine,Sammler,Geography,Global Studies & Maritime Affaris,Assistant Professor,CSU,Maritime,4,https://hifmb.de/wp-content/uploads/2021/01/Sammler.png
Joshua,Shackman,Economics,ABS School of Martime Policy and Management,Assistant Professor,CSU,Maritime,14,https://www.csum.edu/business/media/shackman-joshua.jpg
Sharla,Alegria,Sociology,Sociology,Assistant Professor,UC,Merced,2,https://sociology.ucmerced.edu/sites/sociology.ucmerced.edu/files/styles/medium/public/news/image/cropped-soc-grad-head-photo1.jpeg?itok=FkhWLCaM
Whitney,Pirtle,Sociology,Sociology,Assistant Professor,UC,Merced,3,https://0.academia-photos.com/9928601/3082319/28470282/s200_whitney.laster_pirtle.jpg
Yue (Jessica),Wang,Inorganic Chemistry,Materials Science and Engineering,Assistant Professor,UC,Merced,15,N\A
Emily,Moran,Biology,Life and Environmental Sciences,Assistant Professor,UC,Merced,4,https://www.ucmerced.edu/sites/ucmerced.edu/files/faculty/images/140804-moran-emily.jpg
Dalia,Magana,Spanish Linguistics,Literatures and Languages,Assistant Professor,UC,Merced,0,https://0.academia-photos.com/484215/78727613/67283149/s200_dalia.magana.jpeg
LILIAN,DAVILA,MATERIALS SCIENCE AND ENGINEERING,School of Engineering,Assistant Professor,UC,Merced,4,https://engineering.ucmerced.edu/sites/engineering.ucmerced.edu/files/people/photos/150davila_lilian_090128_3.jpg
Emily Jane,McTavish,Biology,Life and Environmental Sciences,Assistant Professor,UC,Merced,3,N\A
Asmeret Asefaw,Berhe,"Environmental Science, Policy, and Management (Biogeochemistry)",Life and Environmental Sciences,Associate Professor,UC,Merced,4,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Berhe.jpg/220px-Berhe.jpg
Teamrat,Ghezzehei,Soil Science (Soil Physics),Life and Environmental Sciences,Associate Professor,UC,Merced,4,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=oa0AFwcAAAAJ&citpid=6
Kathleen,Hull,Anthropology,Anthropology,Associate Professor,UC,Merced,,https://0.academia-photos.com/145948/38650/35509/s200_kathleen_l..hull.jpg
"Theofanis ""Fanis""",Tsoulouhas,Economics,Social Sciences and Management,Full Professor,UC,Merced,7,N\A
Edbertho,Leal-Quiros,PhD in Nuclear Engineering,Mechanical Engineering,Full Researcher,UC,Merced,3,https://bat.bing.com/action/0?ti=22023325&tm=gtm002&Ver=2&mid=716ad897-aaf9-4c8b-b347-307a8fffb3c2&sid=f1cc2600c45011ec9e38f16ef3b58b2c&vid=f1cc32d0c45011ecafcb032fe7c8cca8&vids=0&gtm_tag_source=1&pi=918639831&lg=en-US&sw=1280&sh=1024&sc=24&tl=Edbertho%20Leal-Quiros%20%7C%20Applied%20Mathematics&p=https%3A%2F%2Fappliedmath.ucmerced.edu%2Fcontent%2Fedbertho-leal-quiros&r=&lt=1908&evt=pageLoad&msclkid=N&sv=1&rn=996690
Jesus,Sandoval,PhD  International economics,SSM Economics,Lecturer with Potential Security of Employmen (LPSOE),UC,Merced,0,https://economics.ucmerced.edu.672elmp01.blackmesh.com/sites/economics.ucmerced.edu/files/jesus_sandoval-hernandez.jpg
Deepti,Chittamuru,Communication,"School Of Social Sciences, Humanities And Arts",Post-Doctoral Scholar,UC,Merced,9,N\A
Dannise,Ruiz,Biology,School of Natural Sciences,Post-Doctoral Scholar,UC,Merced,2,https://i1.rgstatic.net/ii/profile.image/272789840068624-1442049574519_Q128/Dannise-Ruiz-Ramos.jpg
Kevin,Grobman,Psychology (PhD),Psychology,Assistant Professor,CSU,Monterey Bay,0,https://csumb.edu/media/csumb/site-assets/images/user-alt-solid.svg
Judith,Canner,Biomathematics and Zoology,Mathematics and Statistics,Associate Professor,CSU,Monterey Bay,9,https://www.calstate.edu/csu-system/faculty-staff/wang-award/awardees/PublishingImages/2021/Canner_Judith_Award.jpg
Ruting,Jia,Electrical and Computer Engineering,Electrical and Computer Engineering,Assistant Professor,CSU,Northridge,3,https://storage.zoominfo.com/1908482765
Meeta,Banerjee,Ph.D.,Psychology,Assistant Professor,CSU,Northridge,,https://www.csun.edu/sites/default/files/styles/person_teaser_thumb/public/field_image/person/banerjee_m_120x150_2.png?itok=zOHVce-e
Kerry,Nickols,Ecology,Biology,Assistant Professor,CSU,Northridge,6,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=UFdGCugAAAAJ&citpid=1
Nhut,Ho,Systems and human factors engineering,Mechanical Engineering,Full Professor,CSU,Northridge,17,https://www.csun.edu/sites/default/files/styles/person_teaser_thumb/public/field_image/person/me_ho.png?itok=w0jadBHr
Kyung,In Huh,Geography,Geography and Anthropology,Assistant Professor,CSU,Pomona,2,N\A
Yao,Olive Li,Chemical/Food Engineering,Human Nutrition & Food Science,Assistant Professor,CSU,Pomona,3,N\A
Cord,Brundage,"PhD: Integrative Physiology, DVM: Veterinary Medicine",Animal & Veterinary Sciences,Assistant Professor,CSU,Pomona,1,https://www.cpp.edu/studentsuccess/oss/img/iamfirst/profiles/brundage.jpg
Monica,Palomo,PhD,Civil Engineering,Associate Professor,CSU,Pomona,All my projects are multidisciplinary,"https://www.cpp.edu/faculty/mpalomo/17palomo,-monica5.jpg"
Lin,Wu,Geography - climatology,Geography and Anthropology,Full Professor,CSU,Pomona,5,https://www.cpp.edu/faculty/lwu/lin_wu1.jpg
Subodh,Bhandari,Aerospace Engineering,Aerospace Engineering,Full Professor,CSU,Pomona,6,https://www.cpp.edu/faculty/sbhandari/bhandari_003.jpg
Winny,Dong,Materials Science and Engineering,Office of Undergraduate Research,Full Professor,CSU,Pomona,3,https://experts.cpp.edu/wp-content/uploads/2019/09/dong1.jpg
Mahnaz,Moradi Nargesi,Mathematics,,Lecturer,CSU,Pomona,,N\A
Jade,Sasser,Environmental Science & Policy Management,Gender & Sexuality Studies,Assistant Professor,UC,Riverside,,N\A
Samantha,Ying,Soil Geochemistry,Environmental Sciences,Assistant Professor,UC,Riverside,3,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=dFgTIRQAAAAJ&citpid=5
Chen,Li,Materials Science,Materials Science and Engineering/Mechanical Engineering,Assistant Professor,UC,Riverside,3,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=jhGhiCwAAAAJ&citpid=4
Holly,Bik,Biological Sciences,Nematology,Assistant Professor,UC,Riverside,2,"https://res.cloudinary.com/crunchbase-production/image/upload/c_thumb,h_170,w_170,f_auto,g_faces,z_0.7,b_white,q_auto:eco,dpr_1/v1488012727/tyqju9qd3fa0amnyv8he.png"
Sarah,Woodard,Biology,Department of Entomology,Assistant Professor,UC,Riverside,2,https://cnas.ucr.edu/sites/g/files/rcwecm2606/files/styles/form_preview/public/c-ucr-woodard_sarah-450px.jpg?itok=qCQ7sSnZ
Margarita,Curras-Collazo,Physiology,"Cell, Molecular and Systems Biology",Associate Professor,UC,Riverside,2,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=FcBVXj8AAAAJ&citpid=1
Melissa,McTernan,Quantitative Psychology,Psychology,Assistant Professor,CSU,Sacramento,4,N\A
Joseph,Bahlman,Biology,Biology,Assistant Professor,CSU,Sacramento,5,N\A
Milica,Markovic,Electrical Engineering,Electrical and Electronic Engineering,Full Professor,CSU,Sacramento,0,https://media.cheggcdn.com/media%2Fcb4%2Fcb473277-b990-4735-ab21-f673ffb0aef9%2Fimage
Sara,Callori,Physics,Department of Physics,Assistant Professor,CSU,San Bernardino,10,https://scholar.google.com.au/citations/images/avatar_scholar_128.png
Brett,Goforth,Earth Sciences,Geography and Environmental Studies,Assistant Professor,CSU,San Bernardino,1,N\A
Donna,Garcia,Social Psychology,Psychology,Associate Professor,CSU,San Bernardino,4,https://0.academia-photos.com/1211219/436913/543258/s200_donna.garcia.jpg
Alicia,Kinoshita,Civil Engineering,"Civil, Construction, Environmental Engineering",Assistant Professor,CSU,San Diego,6,https://ccee.sdsu.edu/faculty_and_staff/_images/cceephotokinoshita2.jpg
Wenwu,Xu,Materials Science and Engineering,Mechanical Engineering,Assistant Professor,CSU,San Diego,5,https://mechanical.sdsu.edu/_resources/images/wenwu_xu.jpg
