first ,last,discipline,Dept. ,title,CSU/UC,campus,#proj,Image
Jennifer,Mobberley,Microbiology and Cell Science,Chemistry and Biochemistry,Post-Doctoral Scholar,UC,Santa Barbara,4,N\A
Yu,Zhang,Electrical Engineering,Electrical Engineering,Assistant Professor,UC,Santa Cruz,3,https://engineering.ucsc.edu/people/zhangy/photo/1
Margaret,Zimmer,Hydrology,Earth and Planetary Sciences,Assistant Professor,UC,Santa Cruz,5,https://eps.ucsc.edu/cache/directory/mzimmer1.jpg
Kevin,Jones,Accounting,Economics,Assistant Professor,UC,Santa Cruz,0,https://economics.ucsc.edu/cache/directory/kekjones.jpg
Kathleen,Kay,"Ecology, Evolution and Behavior; Plant Biology",Ecology and Evolutionary Biology,Associate Professor,UC,Santa Cruz,0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=rBm9odgAAAAJ&citpid=3
Ricardo,Sanfelice,Electrical Engineering/Control Systems,Computer Engineering,Associate Professor,UC,Santa Cruz,1,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=wCWPJG8AAAAJ&citpid=12
Donald,Wiberg,Engineering,Electrical Engineering,Full Professor,UC,Santa Cruz,100,https://engineering.ucsc.edu/people/wiberg/photo/1
JJ,Garcia-Luna-Aceves,,Computer Engineering,Full Professor,UC,Santa Cruz,0,N\A
Melissa,Viola Eitzel Solera,"Environmental Science, Policy, and Management",Sociology,Post-Doctoral Scholar,UC,Santa Cruz,5,https://d1hbpr09pwz0sk.cloudfront.net/profile_pic/melissa-viola-eitzel-solera-29c5e751
Karin,Jaffe,Anthropology,Anthropology,Full Professor,CSU,Sonoma,10,https://hd.sonoma.edu/sites/hd/files/styles/faculty_staff/public/jaffe.face3_.jpg?itok=b6275YFT
JOSE,DIAZ-GARAYUA,Ph.D. in Geography,Geography,Assistant Professor,CSU,Stanislaus,0,https://scholar.google.com/citations/images/avatar_scholar_128.png
Wing,To,Physics,Physics and Geology,Assistant Professor,CSU,Stanislaus,2,https://www.csustan.edu/sites/default/files/groups/Physics%20%26%20Physical%20Sciences/images/winginsurf_cropped.png
Alison,McNally,Geography,"Department of Anthropology, Geography, and Ethnic Studies",Assistant Professor,CSU,Stanislaus,2,https://www.csustan.edu/sites/default/files/groups/Geography/Images/mcnally.png
Iris,Ruiz,Ethnic Studies,Ethnic Studies,Lecturer,CSU,Stanislaus,0,https://www.csustan.edu/sites/default/files/groups/Ethnic%20Studies/images/custom-custom_size_img_0190.png
Christian,Kohler,Masters in Building Physics,Building Technologies and Urban Systems,Other - Principal Scientific Engineering Associate,"Lawrence Berkeley National Lab, managed by UC",,3,https://www.med.upenn.edu/bbl/assets/user-content/images/faculty/CKohler.png
Haruko,Wainwright,Nuclear Engineering (with minor in Civil and Environmental Engineering),Climate and Ecosystem Sciences Division,Assistant Researcher,Lawrence Berkeley National Laboratory,,5,https://scholar.google.com/citations/images/avatar_scholar_128.png
Daniel,Feldman,Environmental Science and Engineering,Climate Sciences,Associate Researcher,Lawrence Berkeley National Laboratory,,3,N\A
Ulas,Karaoz,Bioinformatics and Systems Biology,Ecology Department,Full Researcher,Lawrence Berkeley National Laboratory,,3,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=9U5MnXUAAAAJ&citpid=2
Robert,Streubel,Physics,"Materials Sciences Division, Lawrence Berkeley National Laboratory",Post-Doctoral Scholar,Lawrence Berkeley National Laboratory,,10,https://www.unl.edu/physics/Robert_Streubel.jpg
Neslihan,Tas Baas,Microbial Ecology,Ecology Department,Project Scientist,Lawrence Berkeley National Laboratory,,5,N\A
Jenny,Mortimer,Plant Physiology,"Environmental Genomics and Systems Biology, Biosciences",Research Scientist,LBNL,,4,https://researchers.adelaide.edu.au/sites/default/files/styles/profile_large/public/profile-images/25040.jpeg?itok=7GlVkC5V
Virginia,Bolshakova,Insect Ecology,UC Cooperative Extension San Mateo &San Francisco Counties,Other - UCANR Advisor/Director,UC Agriculture and Natural Resources,,ALL,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=2xZr5psAAAAJ&citpid=4
