First Name,Last Name,raceEthnicityAlt,raceEthnicity,probabilityCalibrated,probabilityAltCalibrated
Cam,Alldred,W_NL,A,0.803757461,0.882321051
Cam,Gallagher,W_NL,A,0.621740757,0.914787322
Camilo,Doval,A,HL,0.944575155,0.977575104
Carl,Edwards Jr.,W_NL,B_NL,0.681312197,0.960551515
Carlos,Carrasco,A,HL,0.972734027,0.986888824
Carlos,Correa,B_NL,HL,0.972734027,0.986888824
Carson,Kelly,W_NL,B_NL,0.442290474,0.932551092
Cavan,Biggio,HL,W_NL,0.842859559,0.911518529
Chad,Green,B_NL,W_NL,0.498754734,0.916970443
Charlie,Blackmon,W_NL,B_NL,0.868855406,0.969561715
Charlie,Culberson,W_NL,B_NL,0.782522894,0.960912176
Chase,Anderson,W_NL,B_NL,0.571976861,0.948820621
Chase,De Jong,B_NL,A,0.368472013,0.608381992
Chris,Archer,B_NL,W_NL,0.576767354,0.889222401
Chris,Bassitt,B_NL,W_NL,0.714801966,0.922868545
Chris,Devenski,A,W_NL,0.871761649,0.915164349
Chris,Ellis,B_NL,W_NL,0.412290727,0.93036652
Chris,Flexen,B_NL,W_NL,0.58573443,0.772391971
Christian,Arroyo,A,HL,0.949347309,0.986888824
Christian,Bethancourt,HL,W_NL,0.415011413,0.734336704
CJ,Abrams,W_NL,B_NL,0.664165272,0.846912997
Clay,Holmes,W_NL,B_NL,0.5920472,0.956475259
Clint,Frazier,W_NL,B_NL,0.518532209,0.952916922
Cody,Bellinger,B_NL,W_NL,0.836863327,0.962074049
Cole,Irvin,W_NL,B_NL,0.62057689,0.94830257
Colin,Holderman,B_NL,W_NL,0.840600845,0.905374892
Conner,Capel,B_NL,W_NL,0.61083248,0.756536685
Connor,Brogdon,B_NL,W_NL,0.614908914,0.934037879
Connor,Joe,B_NL,A,0.415796111,0.748285501
Cooper,Criswell,B_NL,W_NL,0.598627944,0.927302681
Cooper,Hummel,A,W_NL,0.901808213,0.933139218
Corbin,Burnes,W_NL,B_NL,0.521787311,0.943094909
Corbin,Carroll,B_NL,W_NL,0.604130843,0.916808476
Corey,Dickerson,W_NL,B_NL,0.750486847,0.974949802
Cory,Abbott,B_NL,W_NL,0.710160554,0.951276151
Cristian,Javier,A,HL,0.740790944,0.916620707
Curt,Casali,B_NL,W_NL,0.920050301,0.938254107
Dairon,Blanco,W_NL,HL,0.944131932,0.969683977
Dakota,Hudson,W_NL,B_NL,0.478587767,0.921622319
Dalton,Guthrie,B_NL,W_NL,0.441124839,0.908036526
Damon,Jones,W_NL,B_NL,0.874415805,0.955583059
Dane,Dunning,W_NL,B_NL,0.455398529,0.898176045
Daniel,Bard,B_NL,W_NL,0.573017468,0.880204858
Daniel,Castano,W_NL,HL,0.943173003,0.973523171
Daniel,Duarte,W_NL,HL,0.945184599,0.972385374
Daniel,Hudson,W_NL,B_NL,0.563300477,0.919071886
Danny,Coulombe,W_NL,B_NL,0.607820556,0.881501614
Danny,Jansen,A,W_NL,0.860890041,0.933046143
Darick,Hall,W_NL,B_NL,0.642849918,0.94408876
Daulton,Jefferies,W_NL,B_NL,0.716091204,0.96106514
David,Bednar,HL,W_NL,0.934851978,0.963930616
David,Bote,B_NL,W_NL,0.557838977,0.758102894
David,Fletcher,B_NL,W_NL,0.652758852,0.934879879
David,Hensley,B_NL,W_NL,0.769005375,0.933227899
Daz,Cameron,W_NL,B_NL,0.499442647,0.758016423
Derek,Hill,W_NL,B_NL,0.520985728,0.954839485
Didi,Gregorius,B_NL,W_NL,0.536665051,0.904617275
Diego,Castillo,A,HL,0.972734027,0.986888824
Diego,Castillo,A,HL,0.972734027,0.986888824
DL,Hall,B_NL,W_NL,0.457171029,0.886436094
Domingo,Acevedo,A,HL,0.972734027,0.986888824
Drew,Carlton,B_NL,W_NL,0.711226113,0.941617182
Drew,Ellis,B_NL,W_NL,0.671995946,0.963763972
Drew,Hutchison,B_NL,W_NL,0.808434096,0.945962363
Drew,Jackson,W_NL,B_NL,0.698730881,0.953927303
Drey,Jameson,W_NL,B_NL,0.539510382,0.939397639
Dustin,Garneau,B_NL,W_NL,0.895570547,0.916198464
Dylan,Bundy,B_NL,W_NL,0.615360068,0.915719233
Dylan,Carlson,HL,W_NL,0.910966904,0.928362493
Dylan,Cease,B_NL,W_NL,0.775355703,0.896512077
Dylan,Coleman,B_NL,W_NL,0.586158682,0.903338028
Dylan,Floro,W_NL,HL,0.538755783,0.815037836
Eddy,Alvarez,A,HL,0.972734027,0.986888824
Eduard,Bazardo,W_NL,HL,0.657169053,0.887677208
Eduardo,Escobar,A,HL,0.972734027,0.986888824
Edward,Cabrera,A,HL,0.948480258,0.979769515
Ehire,Adrianza,HL,B_NL,0.780294822,0.847746581
Elier,Hernandez,A,HL,0.972734027,0.986888824
Elvis,Andrus,B_NL,W_NL,0.496127334,0.757127952
Emmanuel,Clase,HL,B_NL,0.598875802,0.879998713
Ender,Inciarte,W_NL,HL,0.656478813,0.851568928
Enyel,De Los Santos,B_NL,A,0.513267043,0.733785474
Eric,Haase,B_NL,W_NL,0.851705829,0.921399156
Eric,Hosmer,B_NL,W_NL,0.819159316,0.885492411
Erick,Fedde,B_NL,W_NL,0.523287004,0.842516146
Ernie,Clement,W_NL,B_NL,0.662716084,0.904304475
Estevan,Florial,A,HL,0.677767101,0.848617057
Ezequiel,Duran,A,HL,0.969426169,0.986888824
Fernando,Cruz,A,HL,0.972734027,0.986888824
Foster,Griffin,W_NL,B_NL,0.66497309,0.963004931
Franchy,Cordero,A,HL,0.945602629,0.977404483
Franklin,German,B_NL,W_NL,0.538816963,0.833295383
Freddie,Freeman,W_NL,B_NL,0.839681726,0.949785123
Freddy,Fermin,A,HL,0.941873925,0.975897873
Gabriel,Arias,A,HL,0.972734027,0.986888824
Garrett,Cleavinger,B_NL,W_NL,0.89390827,0.960937606
Garrett,Cooper,B_NL,W_NL,0.398786766,0.961130604
Garrett,Hampson,B_NL,W_NL,0.606421751,0.952722609
Garrett,Hill,W_NL,B_NL,0.46319775,0.960357584
Gavin,Hollowell,B_NL,W_NL,0.411299262,0.936711616
Gerrit,Cole,B_NL,W_NL,0.492425692,0.937580946
Gilberto,Celestino,A,HL,0.969426169,0.986888824
Giovanny,Gallegos,W_NL,HL,0.948991021,0.979820376
Gosuke,Katoh,B_NL,A,0.895450392,0.965787345
Graham,Ashcraft,B_NL,W_NL,0.842872047,0.930352355
Grayson,Greiner,B_NL,W_NL,0.875632372,0.938389011
Greg,Allen,B_NL,W_NL,0.59239689,0.904680984
Greg,Holland,B_NL,W_NL,0.629131341,0.941149801
Griffin,Jax,B_NL,W_NL,0.748673299,0.883082025
Guillermo,Heredia,A,HL,0.972734027,0.986888824
Gunnar,Henderson,B_NL,W_NL,0.921414401,0.973351948
Hanser,Alberto,A,HL,0.663694435,0.827698967
Harold,Castro,A,HL,0.934561761,0.956750307
Harrison,Bader,B_NL,W_NL,0.771132507,0.896820142
Heath,Hembree,A,W_NL,0.822569875,0.900805834
Huascar,Brazoban,A,HL,0.582959817,0.821960108
Humberto,Castellanos,A,HL,0.972734027,0.986888824
Hunter,Brown,B_NL,W_NL,0.505817454,0.941421376
Hunter,Dozier,B_NL,W_NL,0.584473502,0.92102328
Hunter,Gaddis,B_NL,W_NL,0.806313016,0.939468785
Hunter,Greene,B_NL,W_NL,0.664640958,0.957086555
Hunter,Harvey,B_NL,W_NL,0.676093784,0.93745312
Ian,Anderson,B_NL,W_NL,0.48138528,0.921015632
Ian,Gibaut,HL,W_NL,0.803811942,0.85366268
Ian,Hamilton,B_NL,W_NL,0.4512993,0.912844396
Ian,Happ,A,W_NL,0.864628191,0.90414695
J.D.,Davis,W_NL,B_NL,0.897490966,0.94655111
J.P.,Crawford,W_NL,B_NL,0.740007702,0.957979475
J.P.,Feyereisen,B_NL,W_NL,0.840952171,0.911519923
Jack,Flaherty,B_NL,W_NL,0.898812201,0.940273705
Jackie,Bradley,W_NL,B_NL,0.557132306,0.960139217
Jacob,Barnes,B_NL,W_NL,0.427544027,0.911874081
Jacob,deGrom,A,W_NL,0.664843205,0.847793407
Jake,Bird,B_NL,W_NL,0.800025983,0.901437345
Jake,Brentz,HL,W_NL,0.803303024,0.87681338
Jake,Burger,B_NL,W_NL,0.832428952,0.921660723
Jake,Cave,B_NL,W_NL,0.505010885,0.862146667
Jake,Cousins,W_NL,B_NL,0.397197578,0.930395563
Jake,Cronenworth,B_NL,W_NL,0.734646151,0.844336254
Jake,Diekman,B_NL,W_NL,0.79317659,0.887013571
Jake,Fishman,B_NL,W_NL,0.884295518,0.912360577
Jake,Fraley,B_NL,W_NL,0.674040509,0.923071895
Jake,Hager,B_NL,W_NL,0.921849764,0.941303965
Jakob,Junis,A,W_NL,0.826768755,0.899882562
Jalen,Beeks,W_NL,B_NL,0.616338908,0.958078448
James,Kaprielian,B_NL,W_NL,0.920542476,0.954550834
James,Karinchak,A,W_NL,0.829520879,0.905421307
Jandel,Gustave,W_NL,B_NL,0.724069622,0.843257446
Janson,Junk,A,W_NL,0.762850058,0.905484827
Jarred,Kelenic,B_NL,W_NL,0.91671903,0.97633891
Jarren,Duran,A,HL,0.832216938,0.919628647
Jason,Adam,B_NL,W_NL,0.530780342,0.768855467
Jason,Alexander,B_NL,W_NL,0.552812753,0.930271048
Jason,Castro,A,HL,0.944342089,0.975791637
Jason,Delay,B_NL,W_NL,0.509828758,0.814689543
Jason,Foley,B_NL,W_NL,0.691190767,0.933155531
Jason,Heyward,W_NL,B_NL,0.713493569,0.917229123
Javier,Assad,A,HL,0.60614126,0.758400003
Javy,Guerra,A,HL,0.941669762,0.97715821
Jay,Jackson,W_NL,B_NL,0.872624869,0.913147091
Jaylin,Davis,W_NL,B_NL,0.80565178,0.927913906
Jazz,Chisholm,W_NL,B_NL,0.761645867,0.936158965
Jeff,Brigham,B_NL,W_NL,0.49427181,0.914079571
Jeff,Hoffman,A,W_NL,0.900148995,0.939250453
Jeimer,Candelario,A,HL,0.947889766,0.979820376
Jerad,Eickhoff,A,W_NL,0.942153312,0.975110765
Jeremiah,Estrada,A,HL,0.942423102,0.977182355
Jeremy,Beasley,B_NL,W_NL,0.408338957,0.956142525
Jesse,Chavez,A,HL,0.966118311,0.983456321
Jesus,Cruz,A,HL,0.972734027,0.986888824
Jeter,Downs,B_NL,W_NL,0.535929791,0.886879737
Jeurys,Familia,A,HL,0.942303878,0.96746957
Jharel,Cotton,HL,B_NL,0.869387741,0.904753089
Jhoan,Duran,A,HL,0.85786286,0.977649146
Jhonathan,Diaz,A,HL,0.969426169,0.986888824
Ji,Hwan Bae,W_NL,A,0.972734027,0.986888824
Ji,Man Choi,B_NL,A,0.949554106,0.979947527
Jimmy,Herget,HL,W_NL,0.804540379,0.874520436
JJ,Bleday,B_NL,W_NL,0.412762456,0.712617064
Jo,Adell,W_NL,B_NL,0.670473118,0.905515305
Joan,Adon,HL,B_NL,0.5931131,0.758427882
Joe,Barlow,W_NL,B_NL,0.562271887,0.906523889
Joe,Dunand,W_NL,B_NL,0.474802497,0.757867402
Joe,Kelly,W_NL,B_NL,0.605690785,0.924642238
Joey,Bart,B_NL,W_NL,0.677392789,0.89374015
Joey,Gallo,W_NL,HL,0.719095967,0.895548392
Johan,Camargo,A,HL,0.942550937,0.971997826
John,Brebbia,HL,W_NL,0.669198384,0.844972872
Johnny,Cueto,A,HL,0.946644003,0.983456321
Jon,Berti,HL,W_NL,0.898433158,0.927394255
Jon,Gray,B_NL,W_NL,0.433311028,0.93150871
Jonah,Bride,W_NL,B_NL,0.585602418,0.923130787
Jonah,Heim,A,W_NL,0.852486548,0.946847906
Jonathan,Aranda,A,HL,0.942299242,0.977377119
Jonathan,Davis,W_NL,B_NL,0.598960673,0.9157134
Jonathan,Heasley,B_NL,W_NL,0.767192002,0.913656305
Jonathan,India,W_NL,A,0.598959797,0.75779672
Jordan,Diaz,A,HL,0.969426169,0.986888824
Jordan,Groshans,B_NL,W_NL,0.886699942,0.915647231
Jordan,Hicks,W_NL,B_NL,0.473989698,0.936964837
Jordan,Holloway,W_NL,B_NL,0.440710146,0.939062928
Jorge,Alcala,A,HL,0.972734027,0.986888824
Jorge,Alfaro,W_NL,HL,0.972734027,0.986888824
Jose,Altuve,W_NL,HL,0.946185562,0.976759023
Jose,Alvarez,A,HL,0.972734027,0.986888824
Jose,Barrero,A,HL,0.972734027,0.986888824
Jose,Cuas,A,HL,0.948811631,0.980023818
Jose,Herrera,A,HL,0.972734027,0.986888824
Josh,Bell,W_NL,B_NL,0.472744807,0.889018582
Josh,Donaldson,B_NL,W_NL,0.417047163,0.838127606
Josh,Fleming,W_NL,B_NL,0.454074763,0.756737557
Josh,Hader,A,W_NL,0.830272597,0.904412078
Josh,Harrison,W_NL,B_NL,0.46455348,0.884814354
Josh,Jung,W_NL,A,0.945553486,0.979972957
Josiah,Gray,W_NL,B_NL,0.761632796,0.951543613
JT,Brubaker,B_NL,W_NL,0.676497476,0.842653441
JT,Chargois,A,B_NL,0.80221577,0.869195202
Justin,Bruihl,B_NL,W_NL,0.812584843,0.866176454
Justin,Dunn,B_NL,W_NL,0.4874086,0.914127903
Justin,Grimm,B_NL,W_NL,0.897843319,0.923742886
Ke'Bryan,Hayes,W_NL,B_NL,0.778583786,0.931280786
Keegan,Akin,B_NL,W_NL,0.83911051,0.906326845
Ken,Giles,W_NL,B_NL,0.552118623,0.89630253
Kendall,Graveman,B_NL,W_NL,0.658017866,0.934098623
Kenley,Jansen,A,W_NL,0.872775076,0.921340825
Kerry,Carpenter,B_NL,W_NL,0.6440558,0.953063911
Kervin,Castro,A,HL,0.943199086,0.977552569
Keston,Hiura,B_NL,A,0.856096187,0.934288295
Kevin,Gausman,B_NL,W_NL,0.813758149,0.88399658
Kevin,Ginkel,A,W_NL,0.868228615,0.907088374
Kevin,Herget,HL,W_NL,0.800992871,0.892323589
Kody,Clemens,B_NL,W_NL,0.74751122,0.938417615
Kohei,Arihara,B_NL,A,0.92868773,0.948407631
Kolby,Allard,B_NL,W_NL,0.691250054,0.953395909
Kole,Calhoun,W_NL,B_NL,0.804003376,0.946313612
Kris,Bryant,W_NL,B_NL,0.412976752,0.943642395
Kris,Bubic,A,W_NL,0.945605245,0.977623392
Kutter,Crawford,W_NL,B_NL,0.503171496,0.923927899
Kyle,Barraclough,B_NL,W_NL,0.828308108,0.914488225
Kyle,Bradish,B_NL,W_NL,0.889012043,0.931799499
Kyle,Crick,B_NL,W_NL,0.84165676,0.921165065
Kyle,Dowdy,B_NL,W_NL,0.572326704,0.922905411
Kyle,Farmer,B_NL,W_NL,0.685031604,0.931269863
Kyle,Finnegan,B_NL,W_NL,0.910016228,0.93563247
Kyle,Freeland,B_NL,W_NL,0.686003283,0.941079736
Kyle,Garlick,B_NL,W_NL,0.821841643,0.927539431
Kyle,Gibson,B_NL,W_NL,0.486184388,0.935752747
Kyle,Hendricks,B_NL,W_NL,0.538409126,0.935285427
Kyle,Higashioka,W_NL,A,0.530300519,0.758337711
Kyle,Isbel,A,W_NL,0.832887642,0.909257749
Lewis,Brinson,W_NL,B_NL,0.701202552,0.965282923
Liam,Hendriks,B_NL,W_NL,0.934311872,0.956427825
Logan,Allen,B_NL,W_NL,0.716052264,0.90769372
Logan,Gilbert,B_NL,W_NL,0.708435805,0.936898137
Logan,Gillaspie,B_NL,W_NL,0.747223417,0.926149575
Lorenzo,Cain,HL,B_NL,0.567782067,0.757742342
Louis,Head,W_NL,B_NL,0.501529691,0.910887929
Lourdes,Gurriel Jr.,A,HL,0.905174076,0.958279901
Lucas,Gilbreath,B_NL,W_NL,0.588786496,0.887924101
Lucas,Giolito,W_NL,HL,0.660457018,0.912889483
Lucius,Fox,B_NL,W_NL,0.423984277,0.904431352
Luis,Arraez,A,HL,0.972734027,0.986888824
Luis,Barrera,A,HL,0.972734027,0.986888824
Luis,Campusano,A,HL,0.972734027,0.986888824
Luis,Castillo,A,HL,0.972734027,0.986888824
Luis,Cessa,B_NL,HL,0.949551614,0.979972957
Luis,Garcia,A,HL,0.972734027,0.986888824
Luis,Gil,A,HL,0.972734027,0.986888824
Luis,Guillorme,B_NL,HL,0.949471885,0.986888824
Luke,Bard,B_NL,W_NL,0.762461163,0.927437933
Luke,Barker,B_NL,W_NL,0.724257831,0.933561416
Luke,Farrell,B_NL,W_NL,0.784505781,0.927199766
MacKenzie,Gore,W_NL,B_NL,0.653557072,0.940498205
Madison,Bumgarner,B_NL,W_NL,0.87499964,0.923596855
Maikel,Franco,W_NL,HL,0.934590965,0.968575639
Maikel,Garcia,A,HL,0.949471885,0.979718655
Marco,Gonzales,W_NL,HL,0.972734027,0.986888824
Mario,Feliciano,A,HL,0.972734027,0.986888824
Mark,Appel,A,W_NL,0.931215092,0.947384965
Mark,Canha,A,W_NL,0.457097186,0.755852596
Mark,Contreras,W_NL,HL,0.933724954,0.968912265
Marwin,Gonzalez,A,HL,0.972734027,0.986888824
Matt,Barnes,B_NL,W_NL,0.522590219,0.938564775
Matt,Beaty,B_NL,W_NL,0.750987805,0.936921046
Matt,Brash,B_NL,W_NL,0.778742089,0.949499449
Matt,Bush,B_NL,W_NL,0.659247401,0.935346945
Matt,Carpenter,B_NL,W_NL,0.804986933,0.94359041
Matt,Chapman,B_NL,W_NL,0.73459449,0.887303453
Matt,Davidson,B_NL,W_NL,0.620230531,0.935072252
Matt,Dermody,B_NL,W_NL,0.910094481,0.929450334
Matt,Duffy,B_NL,W_NL,0.860887356,0.943715805
Matt,Festa,HL,W_NL,0.831273124,0.886038873
Matt,Foster,B_NL,W_NL,0.608050664,0.948829308
Matt,Gage,B_NL,W_NL,0.70455278,0.916321941
Matthew,Batten,B_NL,W_NL,0.76120152,0.917123667
Matthew,Boyd,B_NL,W_NL,0.541942623,0.947390753
Max,Castillo,A,HL,0.946364952,0.976866868
Max,Fried,HL,W_NL,0.891649654,0.921523771
Michael,Brantley,B_NL,W_NL,0.580904753,0.934688986
Michael,Chavis,W_NL,B_NL,0.527168112,0.790456742
Michael,Feliz,W_NL,HL,0.956194737,0.983456321
Michael,Fulmer,B_NL,W_NL,0.880477804,0.934911241
Michael,Grove,B_NL,W_NL,0.677082511,0.902492685
Michael,Harris II,W_NL,B_NL,0.517845345,0.939921078
Michael,Hermosillo,W_NL,HL,0.941106625,0.970131386
Michel,Baez,A,HL,0.972734027,0.986888824
Miguel,Andujar,A,HL,0.972734027,0.986888824
Miguel,Cabrera,A,HL,0.972734027,0.986888824
Miguel,Castro,A,HL,0.972734027,0.986888824
Mike,Baumann,A,W_NL,0.918338304,0.940042669
Mike,Brosseau,B_NL,W_NL,0.762998555,0.910201588
Mike,Clevinger,B_NL,W_NL,0.823190446,0.914943259
Mike,Ford,W_NL,B_NL,0.607723426,0.945474131
Mitch,Garver,B_NL,W_NL,0.805290488,0.907760233
Mitch,Haniger,A,W_NL,0.781449598,0.88591978
Mitch,Keller,B_NL,W_NL,0.824176649,0.914888478
Monte,Harrison,W_NL,B_NL,0.806559604,0.968207425
Mookie,Betts,W_NL,B_NL,0.836135267,0.955572359
Mychal,Givens,W_NL,B_NL,0.806345792,0.948492081
Nabil,Crismatt,A,W_NL,0.835994564,0.916372867
Narciso,Crook,HL,B_NL,0.656506658,0.792544557
Nate,Eaton,B_NL,W_NL,0.475572568,0.933955337
Nate,Fisher,B_NL,W_NL,0.604556844,0.944417727
Nathan,Eovaldi,A,W_NL,0.752725307,0.886123161
Nelson,Cruz,A,HL,0.962810453,0.986888824
Nestor,Cortes,A,HL,0.972734027,0.986888824
Nick,Ahmed,W_NL,A,0.672882256,0.812939882
Nick,Allen,W_NL,B_NL,0.490624382,0.89548929
Nick,Castellanos,W_NL,HL,0.944320197,0.971059339
Nick,Duron,W_NL,HL,0.762414506,0.852397619
Nick,Fortes,B_NL,HL,0.483343792,0.757942686
Nick,Gordon,W_NL,B_NL,0.616196065,0.916632338
Nico,Hoerner,HL,W_NL,0.882685591,0.929513773
Niko,Goodrum,B_NL,W_NL,0.734266603,0.921802675
Noah,Davis,W_NL,B_NL,0.617911721,0.942163565
Nolan,Arenado,A,HL,0.874979511,0.929296442
Nolan,Gorman,B_NL,W_NL,0.761756296,0.88377061
Nolan,Jones,W_NL,B_NL,0.748578524,0.942956724
Oneil,Cruz,A,HL,0.942467505,0.986888824
Orlando,Arcia,A,HL,0.972734027,0.986888824
Oscar,Gonzalez,A,HL,0.972734027,0.986888824
Oswaldo,Cabrera,A,HL,0.972734027,0.986888824
Ozzie,Albies,W_NL,B_NL,0.542504889,0.74910016
P.J.,Higgins,B_NL,W_NL,0.39747592,0.907140384
Paolo,Espino,A,HL,0.948759309,0.986888824
Patrick,Corbin,W_NL,B_NL,0.493144673,0.928782118
Paul,Blackburn,B_NL,W_NL,0.688432714,0.935707406
Paul,DeJong,A,W_NL,0.524087321,0.8514189
Paul,Fry,B_NL,W_NL,0.790258843,0.890045627
Paul,Goldschmidt,HL,W_NL,0.920588113,0.937814681
Payton,Henry,W_NL,B_NL,0.670002542,0.940594628
Pedro,Avila,A,HL,0.972734027,0.986888824
Pete,Alonso,W_NL,HL,0.945251012,0.974650706
Pete,Fairbanks,B_NL,W_NL,0.48836543,0.919750514
Peyton,Burdick,B_NL,W_NL,0.794992741,0.934790533
Phil,Bickford,B_NL,W_NL,0.761315275,0.906399134
