First Name,Last Name,Image,School,Source
Brian,Skyrms,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=uD3VmGYAAAAJ&citpid=1,UC Irvine,https://scholar.google.com/citations?hl=en&user=uD3VmGYAAAAJ
Manabu,Shiraiwa,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=SbeVfNQAAAAJ&citpid=5,UC Irvine,https://scholar.google.com/citations?hl=en&user=SbeVfNQAAAAJ
Lisa,Flanagan,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Mfl8-FsAAAAJ&citpid=2,UC Irvine,https://scholar.google.com/citations?hl=en&user=Mfl8-FsAAAAJ
Hamid,Said,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Irvine,https://scholar.google.com/citations?hl=en&user=VoivpaEAAAAJ
Nicole,Berchtold,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Irvine,https://scholar.google.com/citations?hl=en&user=4oIDS6YAAAAJ
Alfred,Kobsa,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=0nBysEcAAAAJ&citpid=3,UC Irvine,https://scholar.google.com/citations?hl=en&user=0nBysEcAAAAJ
Claudia Bird,Schoonhoven,https://scholar.google.com/citations/images/avatar_scholar_128.png,UC Irvine,https://scholar.google.com/citations?hl=en&user=5_Rp1ZYAAAAJ
Scott,Rychnovsky,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=IMpiELkAAAAJ&citpid=1,UC Irvine,https://scholar.google.com/citations?hl=en&user=IMpiELkAAAAJ
K,Smedley,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=yAlSq64AAAAJ&citpid=3,UC Irvine,https://scholar.google.com/citations?hl=en&user=yAlSq64AAAAJ
Farghalli,MOhamed,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=RcgqOssAAAAJ&citpid=2,UC Irvine,https://scholar.google.com/citations?hl=en&user=RcgqOssAAAAJ
Qing,Nie,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=zKAx25AAAAAJ&citpid=1,UC Irvine,https://scholar.google.com/citations?hl=en&user=zKAx25AAAAAJ
