First Name,Last Name,White,Black,Asian,Other,Highest Prob. Score
Brewer,Hicklen,0.9999098777770996,9.542975476506399e-08,2.253683561548314e-06,8.7810576587799e-05,White
Caleb,Ferguson,0.917557418346405,3.652332452475093e-05,0.0009756965155247599,0.0814303841907531,White
Kyle,Farmer,0.9980142116546631,4.224225449434016e-07,0.00010086144584420254,0.0018845206359401345,White
Kolby,Allard,0.9980599284172058,5.829414817526413e-07,0.001206896874919039,0.0007325356418732554,White
Kyle,Isbel,0.8791337609291077,2.744403957422037e-07,3.5752988424064824e-05,0.12083018763223663,White
Griffin,Jax,0.74579918384552,3.0584833439206704e-05,0.0022022843768354505,0.2519679474644363,White
Jonah,Bride,0.9695804119110107,6.481210220954381e-06,0.00013369602675084025,0.030279490165412426,White
Tony,Gonsolin,0.8241174817085266,2.5979110432672314e-05,0.008119653575704433,0.16773681715130806,White
Phil,Gosselin,0.9983991980552673,3.355840760832507e-07,1.2314224250076222e-05,0.0015881744329817593,White
Clay,Holmes,0.9592494964599609,8.47099840939336e-07,8.137921213346999e-05,0.040668304078280926,White
Justin,Dunn,4.5865073161621694e-07,0.9994589686393738,0.0004763306372979059,6.420346414870437e-05,Black
Bryan,Garcia,0.9989429116249084,5.388203021539084e-07,5.835964657308068e-06,0.0010507294209674,White
Alcides,Escobar,4.9267318900092505e-06,0.9949507713317871,0.004743713128846139,0.0003006739409556758,Black
Ryan,Aguilar,0.28942281007766724,0.000638477155007422,0.004267672426067293,0.7056710170581937,Other
P.J.,Higgins,0.9891781806945801,2.8591781301656738e-05,6.895396563777467e-05,0.010724256280809641,White
Yuli,Gurriel,0.054099880158901215,0.003471569623798132,0.1250308658927679,0.8173976810649037,Other
Yennier,Cano,5.364627577364445e-05,0.9655584692955017,0.03020569318323396,0.004182158609182807,Black
Robbie,Erlin,0.999367892742157,1.1168295799279804e-07,7.343111292357207e-06,0.0006246890552574769,White
Ben,DeLuzio,0.022252321243286133,0.00037156525650061667,0.6310564841041924,0.34631961677223444,Asian
Nolan,Arenado,0.11645908653736115,0.0013644489226862788,0.08514250430744141,0.797033965587616,Other
Ian,Hamilton,0.9780224561691284,1.225064534082776e-05,0.005721359841118101,0.016243895515799522,White
Brendan,Donovan,0.998534083366394,4.264823928679107e-06,6.197218908710056e-06,0.001455499790608883,White
Cory,Abbott,0.8889400362968445,4.256772808730602e-05,0.0017034189077094197,0.10931398347020149,White
Yu,Darvish,0.001161827938631177,7.341310720221372e-06,0.9952448858821299,0.0035859776216966566,Asian
Tommy,Edman,0.42145711183547974,0.0003013335808645934,0.12949058366939425,0.44875102874357253,Other
Josh,Hader,0.9249529242515564,1.1246469512116164e-05,0.07029985292774654,0.004735884896945208,White
Josh,Donaldson,0.9898169040679932,7.143708558032813e-07,0.0027890337296412326,0.007393358100671321,White
Caleb,Hamilton,0.9834365844726562,6.277540705923457e-06,0.004920350131214946,0.011636796989478171,White
Connor,Brogdon,0.8778293132781982,5.81010590394726e-06,0.0011777676718338626,0.12098712660372257,White
Luis,Barrera,0.2981482744216919,0.0015264677349478006,0.008862232964020222,0.6914629936218262,Other
Dylan,Carlson,0.21358785033226013,0.0010626196162775159,0.01196987577714026,0.7733796646352857,Other
Jarred,Kelenic,0.9981831908226013,1.6071992376964772e-06,0.00011374533278285526,0.0017013817559927702,White
Raisel,Iglesias,5.375189630285604e-06,0.9958961009979248,0.0037534811581281247,0.00034511444846430095,Black
Andrew,Bellatti,0.9950710535049438,4.877144874626538e-06,0.00026223829263472,0.0046619222848676145,White
Jason,Foley,0.9942213296890259,5.065500658929523e-07,1.5718626855232287e-05,0.005762453656643629,White
Jake,Bird,0.9470683932304382,2.4374671170335205e-07,3.964924655974755e-05,0.05289173754863441,White
Tyler,Cyr,0.25385943055152893,4.716699550044723e-05,0.027589814199018292,0.7185035943984985,Other
Rodolfo,Castro,1.235262334375875e-05,0.9987603425979614,0.0005418348773673642,0.0006854025666598318,Black
Eric,Hosmer,0.1475333571434021,5.645160490530543e-05,0.004138668649829924,0.8482714773854241,Other
