First Name,Last Name,White,Black,Asian,Other,Prediction,Confidence,Ground_Truth
Michael,Kopech,0.977879822,2.62e-05,3.04e-05,0.005464648,White,0.977879822,White
Michael,Lorenzen,0.909447372,5.07e-06,0.000129881,0.029142939,White,0.909447372,White
Michael,Massey,0.955525041,5.89e-06,9.18e-05,0.004379821,White,0.955525041,White
Michael,Papierski,0.996697545,3.36e-07,3.74e-06,0.001532122,White,0.996697545,White
Michael,Perez,0.040419675,0.053248879,0.001332294,0.001354935,Other,0.896546006,Other
Michael,Pineda,4.83e-06,0.99779582,1.44e-06,4.45e-05,Black,0.99779582,Black
Michael,Plassmeyer,0.988984048,2.24e-06,4.89e-06,0.003646581,White,0.988984048,White
Michael,Rucker,0.99844861,8.95e-08,3.49e-06,0.000459506,White,0.99844861,White
Michael,Siani,0.998842418,4.52e-07,2.52e-06,0.000294334,White,0.998842418,White
Michael,Stefanic,0.999632597,8.43e-08,2.74e-07,3.94e-05,White,0.999632597,White
Michael,A. Taylor,1.47e-06,0.99426347,1.87e-06,4.47e-06,Black,0.99426347,Black
Michael,Toglia,0.937899828,1.64e-06,2.59e-05,0.023616446,White,0.937899828,White
Michael,Wacha,0.990836143,1.55e-07,3.88e-07,0.000242106,White,0.990836143,White
Michel,Baez,0.123165026,0.000293728,0.000440638,0.005641022,Other,0.868997395,Other
Mickey,McDonald,0.995255113,4.32e-07,4.86e-07,0.000846183,White,0.995255113,White
Mickey,Moniak,0.992926538,1.84e-06,5.91e-06,0.002249462,White,0.992926538,White
Miguel,Andujar,6.7e-05,0.984553337,0.000107405,8.44e-06,Black,0.984553337,Black
Miguel,Cabrera,0.056209262,0.000832284,0.00097576,0.000400113,Other,0.935584307,Other
Miguel,Castro,2.53e-07,0.999962687,5.78e-07,1.12e-07,Black,0.999962687,Black
Miguel,Rojas,0.105320826,0.00057783,0.00207348,0.015162743,Other,0.855241597,Other
Miguel,Vargas,0.011347557,0.028353795,0.000297417,0.069512554,Other,0.648825765,Other
Miguel,Yajure,0.025322516,0.00256259,0.000809053,0.00039016,Asian,0.631122828,Other
Mike,Baumann,0.996582568,5.08e-06,1.99e-05,0.001208627,White,0.996582568,White
Mike,Brosseau,0.996333718,8.08e-07,4.92e-06,0.000714054,White,0.996333718,White
Mike,Clevinger,0.995166183,7.63e-07,7.13e-06,0.000591966,White,0.995166183,White
Mike,Ford,0.068537302,5.81e-07,1.32e-06,0.001513436,Other,0.929802477,White
Mike,Mayers,0.999805868,3.95e-08,1.75e-07,6.55e-05,White,0.999805868,White
Mike,Minor,0.997546613,5.66e-07,2.56e-06,0.0007782,White,0.997546613,White
Mike,Moustakas,0.99659425,3.9e-07,4.07e-07,0.000291681,White,0.99659425,White
Mike,Trout,0.995604515,1.33e-06,6.13e-06,0.00152804,White,0.995604515,White
Mike,Yastrzemski,0.957294583,6.78e-06,0.000146328,0.006421072,White,0.957294583,White
Mike,Zunino,0.960370541,1.31e-05,8.48e-05,0.014956442,White,0.960370541,White
Miles,Mastrobuoni,0.674315393,0.000159324,0.000908433,0.071385592,White,0.674315393,White
Miles,Mikolas,0.984982252,4.82e-05,2.27e-05,0.0073419,White,0.984982252,White
Mitch,Garver,0.995072186,4.1e-07,3.37e-06,0.000157636,White,0.995072186,White
Mitch,Haniger,0.905882597,4.68e-07,2.73e-06,0.000501831,White,0.905882597,White
Mitch,Keller,0.469790727,3.65e-06,6.4e-05,6.11e-05,Asian,0.48306182,White
Mitch,White,0.046655245,0.000518491,0.00940471,0.016680598,Asian,0.384218186,White
MJ,Melendez,0.006546277,0.04820947,0.000635417,0.183506906,Other,0.612331808,Other
Monte,Harrison,6.6e-05,0.989783108,2.63e-05,2.73e-05,Black,0.989783108,Black
Mookie,Betts,0.001579848,0.636896253,0.000448312,0.000170602,Black,0.636896253,Black
Mychal,Givens,1.21e-06,0.999009013,7.53e-06,8.93e-07,Black,0.999009013,Black
Myles,Straw,0.992331147,1.41e-06,3.49e-05,0.000604363,White,0.992331147,White
Nabil,Crismatt,0.364706308,0.00098894,0.000103615,0.034065686,Other,0.589622855,Other
Narciso,Crook,0.000194593,0.977398634,0.000128479,0.000150812,Black,0.977398634,Black
Nash,Walters,0.992763937,4.5e-06,8.19e-06,0.000169049,White,0.992763937,White
Nate,Eaton,0.991328955,9.79e-07,9.29e-06,0.000910322,White,0.991328955,White
Nate,Fisher,0.865333676,2.55e-06,1.45e-05,0.014197202,White,0.865333676,White
Nate,Mondou,0.952668369,9.3e-05,0.000203432,0.020486614,White,0.952668369,White
Nathan,Eovaldi,0.508324206,8.64e-05,0.000103484,0.093815349,White,0.508324206,White
Nathaniel,Lowe,0.270319223,0.001969262,0.000102362,0.052396085,Other,0.484695524,White
Nelson,Cruz,0.029940121,0.02154568,0.001426372,0.393263221,Other,0.44194904,Other
Nestor,Cortes,0.039538067,8.13e-05,0.002400845,0.00144052,Other,0.936950088,Other
Nicholas,Padilla,0.185749248,0.000280392,0.000484202,0.03823401,Other,0.72548449,Other
Nick,Ahmed,0.973975778,3.26e-06,3.85e-05,0.009067143,White,0.973975778,White
Nick,Allen,0.999777734,1.92e-07,1.38e-06,8.47e-05,White,0.999777734,White
Nick,Castellanos,0.692128718,2.87e-05,0.000876102,0.02225155,White,0.692128718,White
Nick,Duron,0.994339406,2.81e-07,8.35e-07,0.000616236,White,0.994339406,White
Nick,Fortes,0.581208229,8.16e-05,0.000341787,0.003955213,White,0.581208229,White
Nick,Gordon,7.4e-07,0.999205887,3.49e-06,6.59e-06,Black,0.999205887,Black
Nick,Lodolo,0.999013901,1.72e-07,3.53e-06,0.000213094,White,0.999013901,White
Nick,Madrigal,0.085767783,0.015397526,0.000395454,0.022433331,Other,0.751746058,Other
Nick,Martinez,0.704637527,0.001212684,0.00013477,0.106215052,White,0.704637527,Other
Nick,Maton,0.994681299,9.02e-07,5.48e-06,0.002305928,White,0.994681299,White
Nick,Mears,0.982150257,2.44e-06,9.32e-05,0.004609563,White,0.982150257,White
Nick,Neidert,0.919468105,0.000105447,1.62e-05,0.019573383,White,0.919468105,White
Nick,Nelson,0.687459171,1.03e-05,5.91e-06,9.52e-05,White,0.687459171,White
Nick,Pivetta,0.999499202,1.53e-07,5.03e-07,0.000155858,White,0.999499202,White
Nick,Plummer,0.003049076,0.498908341,0.003334933,7.16e-05,Black,0.498908341,Black
Nick,Pratto,0.778015673,0.000153896,0.000301657,0.00749316,White,0.778015673,White
Nick,Sandlin,0.12618275,0.000141161,0.000263244,0.144750297,Other,0.679991484,Other
Nick,Senzel,0.246367291,8.58e-05,0.00029339,0.007116133,Asian,0.424703509,White
Nick,Snyder,0.992738783,8.86e-06,9.96e-06,0.000856813,White,0.992738783,White
Nick,Solak,0.999158502,5.7e-07,1.54e-06,0.000173668,White,0.999158502,White
Nick,Vespi,0.960163951,2.15e-05,7.4e-05,0.003867692,White,0.960163951,White
Nick,Wittgren,0.837022185,2.73e-06,0.000159135,0.017911417,White,0.837022185,White
Nicky,Lopez,0.687918544,0.000159707,7.41e-05,0.00229214,White,0.687918544,White
Nico,Hoerner,0.999474823,1.32e-07,2.12e-06,0.000143244,White,0.999474823,White
Niko,Goodrum,0.00035347,0.946807802,4.34e-05,0.000354609,Black,0.946807802,Black
Noah,Davis,0.999775469,2.91e-07,2.47e-06,1.66e-05,White,0.999775469,White
Noah,Syndergaard,0.994008541,2.76e-06,1.54e-05,0.002873754,White,0.994008541,White
Nolan,Arenado,0.116404928,0.001363477,0.000239874,0.323480278,Other,0.473724335,Other
Nolan,Gorman,0.991816223,1.11e-05,9e-06,0.000564594,White,0.991816223,White
Nolan,Jones,0.611717939,4.43e-06,1.35e-05,0.008894393,White,0.611717939,White
