Name,Ethnicity
Brittany O'Grady,Biracial, 1
Iliza Shlesinger,White
Christopher Nolan,Danish
Thandiwe Newton,Biracial, 1
Michael Rady,White
Carla Gugino,White
Alicia Vikander,Swedish
Dawn Olivieri,White, 1
Kate Mulvany,White
Julie Strain,White
Brendan Gleeson,White, 1
Damien Chazelle,White, 1
Timothy Olyphant,White
Annabelle Wallis,White
Megan Fox,White
Alan Rickman,White
Michelle Randolph,White
Wagner Moura,Brazilian, 1
Anna Paquin,White
Olivia Cooke,White
Chris Pine,White
Paolina van Kleef,White
Michelle Williams,White
Melissa McCarthy,White
Abby Ryder Fortson,White
Rihanna,Biracial, 2
Zachary Levi,White
Zendaya,Biracial, 1
Rupert Grint,White
Anna Kendrick,White
Zoey Deutch,White, 1
James Spader,White, 1
Joe Manganiello,White, 1
Wendie Malick,Egyptian
Alden Ehrenreich,White, 1
Gwendoline Christie,Scottish
Storm Reid,Black, 1
Nathalie Emmanuel,White, 1
Eden Sher,White
Hope Davis,Welsh
April Bowlby,White
Rachel Weisz,White
Ben Aldridge,White, 1
Jonathan Groff,White
Chris Hemsworth,Dutch
Natalie Dormer,White
Jennifer Aniston,White, 1
Katee Sackhoff,White, 1
Vanessa Kirby,White
Steve Howey,Scottish, 1
Todd Field,White
Pamela Anderson,White, 1
Daniel Craig,White
Ariel Winter,White, 1
Jamie Lee Curtis,White, 1
Kaley Cuoco,White
Lukita Maxwell,Biracial, 1
Olivia Colman,White
Julia Roberts,White
Milly Alcock,White
George Clooney,White, 1
Elizabeth Mitchell,White
Dylan O'Brien,White
Letitia Wright,Black
Daisy Edgar-Jones,Scottish
Joanne Whalley,White
Devan Chandler Long,White, 1
Woody Harrelson,White
Martin McDonagh,White
Chloe Sevigny,White, 1
Lauren Cohan,White
Morena Baccarin,Biracial
Jason Momoa,Biracial, 1
Nicole Kidman,White
James Hong,Asian
Rosamund Pike,White
Hayley Atwell,White
Jack Lowden,Scottish
Lea Thompson,White
Merle Dandridge,Biracial, 1
Charlie Murphy,White
Halle Bailey,Black
Gary Oldman,White
Samantha Morton,White
Gal Gadot,White/Middle Eastern, 2
Denise Gough,White
Josh Hartnett,White, 1
Yvonne Strahovski,Polish
Andrew Buchan,White
Vin Diesel,Biracial, 2
Meghann Fahy,White
Charlie Hunnam,White
Arnold Schwarzenegger,White, 1
Idris Elba,Black
Jonathan Roumie,Biracial
Hayley Orrantia,White/Mexican, 2
Corey Stoll,White, 1
Hailee Steinfeld,White
Amanda Seyfried,White
Nicholas Hoult,White
Jack Nicholson,White
Polly Draper,White
Alan Ritchson,Czech
John Krasinski,White
Josh Duhamel,White
Paul Dano,White
Adrien Brody,White, 1
Blake Lively,White
Michael Stuhlbarg,White, 1
Jason Bateman,White, 1
Jennifer Lopez,Puerto, 1
Peter Stormare,Swedish
Kristen Bell,White
Shantel VanSanten,White
Abigail Breslin,White
Lamar Johnson,Black
Sarah Michelle Gellar,White
David Fincher,White
Carey Mulligan,White
Sheila Carrasco,Chilean/White, 2
Patrick Stewart,White, 1
Jonah Hauer-King,White, 1
Oscar Isaac,Cuban, 1
Amber Heard,Scots
Helena Bonham Carter,White
Alicia Silverstone,White
Hero Fiennes Tiffin,White, 1
Rita Moreno,Puerto, 1
Jen Landon,White
Caroline Ford,White
Chris Evans,White
Wes Bentley,White
Hugh Jackman,White
Nick Nolte,White
Danai Gurira,Zimbabwean
Sally Field,White
Gina Carano,White, 1
Jena Malone,Norwegian
Lilli Kay,White
Ruby Stokes,White
Matthew Goode,White
Elisha Cuthbert,Scottish
Shailene Woodley,White
Jessie Buckley,White
Tania Raymonde,White
Austin Majors,White
Marisa Tomei,White
Tenoch Huerta,Mexican
Vella Lovell,Biracial
Suki Waterhouse,White
Jennifer O'Neill,White
Bob Odenkirk,White
T�a Leoni,White
Joaquin Phoenix,White
Wes Anderson,White
Jeremy Renner,White
Ted McGinley,White
Bradley Whitford,White
Heidi Gardner,White
Lily Rabe,White
Ty Simpkins,White
Christina Hendricks,White
Ethan Hawke,White
Kate Beckinsale,White
Lee Pace,White
Javier Bardem,Spanish
Nicholas Cirillo,White
Viggo Mortensen,White
Raegan Revord,White
Kate Mara,White
Gina Rodriguez,Puerto
Rose McIver,Scottish
Julia Louis-Dreyfus,White
Olga Kurylenko,Ukrainian
Melissa Rauch,White
Emmy Rossum,White
Bradley Cooper,White
Lynn Collins,White
Brett Goldstein,White
Maite Perroni,Mexican
Teresa Palmer,White
Eiza Gonz�lez,Other
Nicola Peltz Beckham,White
Natacha Karam,Biracial
Maisie Williams,White
Jim Carrey,White
Jon Bernthal,White
Laura Bailey,White
Saoirse Ronan,White
Alice Eve,White
Drew Starkey,White
Edward Norton,White
Ezra Miller,White
Julie Bowen,White
Janelle Mon�e,Black
DJ Qualls,White
Dafne Keen,White
Tricia Helfer,White
Emma Roberts,White
Steve Carell,White
Eliza Dushku,White
Mariska Hargitay,White
Bill Skarsg�rd,White
Jenny Slate,White
Natalia Tena,Spanish
Jean Smart,White
Greta Gerwig,White
Briana Middleton,Not found
Leighton Meester,White
James Marsden,White
Brian Tyree Henry,Black
Natalie Zea,White
Julia Stiles,White
Kristen Stewart,White
Sam Heughan,Scottish
Robert Pattinson,White
Rhys Darby,White
Billy Zane,Greek
Haley Joel Osment,White
Robin Williams,White
Piper Perabo,White
Paget Brewster,White
Jami Gertz,White
Rooney Mara,White
Tom Hollander,White
Connie Nielsen,Danish
Janet Montgomery,Scottish
Rebel Wilson,White
Gillian Anderson,White
Isis Hainsworth,White
Thomas Jane,White
William Jackson Harper,Black
Kelsey Grammer,White
Aimee Carrero,Biracial
Samuel L. Jackson,Black
Noah Centineo,White
Ambyr Childers,White
Simona Tabasco,White
Barbara Bosson,White
L�a Seydoux,White
Jodie Comer,White
Kelly McGillis,White
Ewan McGregor,Scottish
Peyton List,White
Bonnie Wright,White
Grace Palmer,Biracial
Sam Elliott,White
Sarah Lancashire,White
Jeremy Allen White,Ukrainian
Kelly Hu,White
Jennifer Jason Leigh,White
Tawny Newsome,Not found
Haylie Duff,White
Timothy Dalton,White
Ming-Na Wen,Chinese
Eve Hewson,White
Ryan Hurst,White
Angelina Jolie,White
Jake Lacy,White
Abbie Cornish,White
Daniel Br�hl,Biracial
Emily Osment,White
Jennette McCurdy,White
Zoe Perry,White
Cerina Vincent,White
Dakota Johnson,White
India de Beaufort,White
Aminah Nieves,Not found
Wesley Kimmel,Not found
Ridley Scott,White
Eddie Murphy,Black
Lily Collins,Not found
Giancarlo Esposito,Not found
Connie Britton,White
Jordan Bolger,Not found
Abigail Spencer,White
Evan Rachel Wood,White
Shirley Henderson,Scottish
Harris Dickinson,White
Mads Mikkelsen,Danish
Benicio Del Toro,Puerto
Chadwick Boseman,Black
Daniel Day-Lewis,Not found
Margaret Qualley,Norwegian
Morgan Freeman,Black
Stana Katic,Serbian
Bill Paxton,White
Sarah Snook,White
Haley Bennett,White
Brenda Blethyn,Not found
Shia LaBeouf,Not found
Daisy Ridley,White
Rachel Bloom,White
Patricia Richardson,Not found
Ryan Eggold,Not found
Taylor Kitsch,White
Emma D'Arcy,White
Ren�e Zellweger,Not found
Cybill Shepherd,White
Ashley Madekwe,Not found
Peyton List,White
Richard Gere,White
Anthony Mackie,Black
Zac Efron,White
Naomi Watts,White
Willa Fitzgerald,White
Kim Cattrall,White
Neal McDonough,White
Josh Hutcherson,White
Lena Headey,White
Tilly Keeper,Not found
Richard Harris,Not found
Jack O'Connell,White
Tom Hiddleston,Not found
Lake Bell,White
Alba Baptista,Portuguese
James Cameron,Scottish
Emma Corrin,White
Tim Blake Nelson,White
Rose Byrne,White
Mackenzie Davis,White
Chyler Leigh,White
Jessica Biel,White
Sof�a Vergara,Not found
Claire Danes,White
Antony Starr,Not found
Stanley Tucci,White
Gabrielle Anwar,Not found
Kristin Davis,White
Ann-Margret,Swedish
Kevin Bacon,White
Jane Fonda,Dutch
Mae Whitman,White
Natasha Richardson,White
Bill Nighy,White
Isabela Merced,Not found
Tina Majorino,White
Ben Stiller,Not found
Evan Peters,White
Tim McGraw,White
Michael Urie,Not found
Sean Young,White
Lucy Boynton,White
Danielle Macdonald,Scottish
Jordan Peele,Not found
Liv Tyler,White
Anthony Hopkins,Welsh
Kate Hudson,Not found
Max Thieriot,White
Melinda Clarke,White
Greta Scacchi,Not found
Sophia Lillis,White
James McAvoy,Scottish
Robert Patrick,White
Rebecca Wisocky,White
Cleopatra Coleman,Not found
Lauren Lapkus,Not found
Laura Prepon,Not found
Alexander Dreymon,Not found
Nathan Fillion,Not found
Dan Stevens,White
Natascha McElhone,White
Andrew Lincoln,White
Walton Goggins,White
Thomasin McKenzie,Scottish
Jenna Fischer,White
Marlon Brando,White
Sean Harris,White
Carlacia Grant,Not found
Kelly Preston,White
Margo Martindale,White
Judith Light,White
Kaitlin Olson,White
Michelle Hurd,Not found
Robin Wright,White
Cary Elwes,White
Hannah Simone,Not found
Aaron Paul,White
Will Poulter,White
Hunter Schafer,White
Melissa Benoist,White
Simon McBurney,White
Erin Moriarty,White
Sam Rockwell,White
David Gyasi,Not found
Kristen Wiig,Not found
Rebecca Romijn,Not found
Jennifer Grey,White
David Tennant,Scottish
Lucy Liu,Han
Kathryn Hahn,White
Meghan Markle,Not found
Kyle Gallner,Not found
Will Ferrell,White
Jon Gries,Not found
James Franco,Not found
Violet McGraw,Not found
Jen Richards,Not found
Juliette Lewis,White
Sarah Polley,Not found
Pierce Brosnan,White
Guillermo del Toro,Mexican
Jessie Mei Li,Not found
Antonia Gentry,Not found
Judy Greer,White
Constance Wu,Taiwanese
Pom Klementieff,Not found
Naomi Scott,Not found
Paul Newman,Not found
Parker Posey,White
Camille Kostek,Not found
Charles Melton,Not found
Domhnall Gleeson,White
Luke Evans,Welsh
Elle Fanning,White
Benedict Cumberbatch,White
Lisa Ann Walter,Not found
Jon Favreau,Not found
Brian Cox,Not found
Diane Kruger,White
Kahyun Kim,Not found
Josh Brolin,White
Michelle Trachtenberg,White
Karissa Lee Staples,Not found
Jude Law,White
Lio Tipton,Not found
Katherine Heigl,Not found
Jeremy Strong,Not found
Meg Ryan,Not found
Lacey Chabert,Cajun
Kirsten Dunst,White
Claire Foy,White
Ruth Wilson,White
Ryan Hansen,Danish
Patrick Warburton,Not found
Annie Potts,White
Owen Wilson,White
Jurnee Smollett,Not found
Garrett Hedlund,Not found
Vera Farmiga,Ukrainian
Wil Wheaton,White
