First Name,Last Name,Highest Prob. Score
Herbert,Jones,Black
Kai,Jones,Black
Tre,Jones,Black
Tyus,Jones,Black
Derrick,Jones Jr.,Black
DeAndre,Jordan,Black
Cory,Joseph,Black
Nikola,Jovic,White
Johnny,Juzang,Asian
Mfiondu,Kabengele,Black
Frank,Kaminsky,White
Trevor,Keels,Black
Luke,Kennard,White
Walker,Kessler,White
Braxton,Key,Black
Louis,King,Black
Corey,Kispert,White
Maxi,Kleber,White
Nathan,Knight,Black
Kevin,Knox II,White
Christian,Koloko,Black
John,Konchar,White
Furkan,Korkmaz,White
Luke,Kornet,White
Vit,Krejci,White
Jonathan,Kuminga,Black
Kyle,Kuzma,White
Jake,LaRavia,Other
Zach,LaVine,White
Anthony,Lamb,Black
Jock,Landale,Black
Romeo,Langford,Black
A.J.,Lawson,White
Caris,LeVert,White
Damion,Lee,Black
Saben,Lee,Asian
Alex,Len,Asian
Kawhi,Leonard,White
Meyers,Leonard,White
Justin,Lewis,Black
Kira,Lewis Jr.,Black
E.J.,Liddell,Black
Damian,Lillard,White
Nassir,Little,White
Isaiah,Livers,Black
Kenneth,Lofton Jr.,Black
Kevon,Looney,Black
Brook,Lopez,Other
Robin,Lopez,Other
Kevin,Love,Black
Kyle,Lowry,White
Trey,Lyles,Black
Theo,Maledon,Black
Sandro,Mamukelashvili,White
Terance,Mann,Black
Tre,Mann,Black
Boban,Marjanovic,White
Lauri,Markkanen,White
Naji,Marshall,White
Caleb,Martin,White
Cody,Martin,White
Tyrese,Martin,Black
Kenyon,Martin Jr.,Black
Garrison,Mathews,Black
Bennedict,Mathurin,Black
Wesley,Matthews,Black
Tyrese,Maxey,Black
Miles,McBride,Black
Mac,McClung,Black
CJ,McCollum,Black
T.J.,McConnell,Black
Jaden,McDaniels,Black
Jalen,McDaniels,Black
Doug,McDermott,White
JaVale,McGee,Black
Bryce,McGowens,Black
Rodney,McGruder,Black
Jordan,McLaughlin,White
De'Anthony,Melton,Black
Sam,Merrill,White
Chimezie,Metu,Black
Khris,Middleton,Black
Patty,Mills,Black
Shake,Milton,Black
Josh,Minott,Black
Davion,Mitchell,Black
Donovan,Mitchell,Black
Evan,Mobley,Black
Isaiah,Mobley,Black
Chima,Moneke,Black
Malik,Monk,Black
Moses,Moody,Black
Xavier,Moon,Black
Wendell,Moore Jr.,Black
Ja,Morant,Black
Markieff,Morris,Black
Monte,Morris,Black
Marcus,Morris Sr.,Black
Trey,Murphy III,White
Dejounte,Murray,Black
Jamal,Murray,Black
Keegan,Murray,Black
Mike,Muscala,White
Svi,Mykhailiuk,White
Larry,Nance Jr.,Black
Andrew,Nembhard,Black
Aaron,Nesmith,Black
Raul,Neto,Other
Georges,Niang,Black
Daishen,Nix,Black
Zeke,Nnaji,Black
Nerlens,Noel,Black
Jaylen,Nowell,Black
Frank,Ntilikina,Black
Kendrick,Nunn,Black
Jusuf,Nurkic,White
Jordan,Nwora,Black
Royce,O'Neale,Black
Chuma,Okeke,Black
Josh,Okogie,Black
Onyeka,Okongwu,Black
Isaac,Okoro,Black
KZ,Okpala,Black
Victor,Oladipo,Black
Kelly,Olynyk,White
Eugene,Omoruyi,Black
Cedi,Osman,White
Kelly,Oubre Jr.,Black
Chris,Paul,Black
Cameron,Payne,Black
Gary,Payton II,White
Theo,Pinson,Black
Scotty,Pippen Jr.,White
Mason,Plumlee,White
Jakob,Poeltl,White
Aleksej,Pokusevski,White
Jordan,Poole,White
Kevin,Porter Jr.,White
Michael,Porter Jr.,White
Otto,Porter Jr.,White
Bobby,Portis,Black
Kristaps,Porzingis,White
Micah,Potter,White
Dwight,Powell,Black
Norman,Powell,Black
Jason,Preston,White
Joshua,Primo,Black
Taurean,Prince,Black
Payton,Pritchard,White
Trevelin,Queen,Black
Neemias,Queta,Other
Immanuel,Quickley,Black
Julius,Randle,Black
Austin,Reaves,Black
Cam,Reddish,Asian
Davon,Reed,Black
Paul,Reed,White
Naz,Reid,White
Jared,Rhoden,White
Nick,Richards,Black
