First Name,Last Name,White,Black,Asian,Other,Highest Prob. Score,Filler,Image
Alexander, Skarsgard,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Alexander_ Skarsgard.jpg
Paulina, Gaitan,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Paulina_ Gaitan.jpg
Margot, Robbie,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Margot_ Robbie.jpg
Anya, Taylor-Joy,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Anya_ Taylor-Joy.jpg
Paul, Rudd,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Paul_ Rudd.jpg
Michelle, Pfeiffer,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Michelle_ Pfeiffer.jpg
Julia, Schlaepfer,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Julia_ Schlaepfer.jpg
Catherine, Haena Kim,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Catherine_ Haena Kim.jpg
Emily, Blunt,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Emily_ Blunt.jpg
Gabriel, Luna,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Gabriel_ Luna.jpg
Bridget, Regan,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Bridget_ Regan.jpg
Joey, King,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Joey_ King.jpg
Bruce, Willis,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Bruce_ Willis.jpg
Kelly, Reilly,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Kelly_ Reilly.jpg
Milo, Ventimiglia,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Milo_ Ventimiglia.jpg
Dichen, Lachman,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Dichen_ Lachman.jpg
Brad, Pitt,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Brad_ Pitt.jpg
Graham, Greene,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Graham_ Greene.jpg
Ashley, Greene,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Ashley_ Greene.jpg
Murray, Bartlett,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Murray_ Bartlett.jpg
Billy, Crudup,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Billy_ Crudup.jpg
Leonardo, DiCaprio,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Leonardo_ DiCaprio.jpg
Ashton, Kutcher,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Ashton_ Kutcher.jpg
Samara, Weaving,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Samara_ Weaving.jpg
Steven, Spielberg,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Steven_ Spielberg.jpg
Amanda, Plummer,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Amanda_ Plummer.jpg
Cate, Blanchett,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Cate_ Blanchett.jpg
Aubrey, Plaza,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Aubrey_ Plaza.jpg
Harrison, Ford,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Harrison_ Ford.jpg
Nicolas, Cage,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Nicolas_ Cage.jpg
Ana, de Armas,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Ana_ de Armas.jpg
Reese, Witherspoon,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Reese_ Witherspoon.jpg
Lizzy, Caplan,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Lizzy_ Caplan.jpg
Lashana, Lynch,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Lashana_ Lynch.jpg
Victoria, Pedretti,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Victoria_ Pedretti.jpg
Thuso, Mbedu,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Thuso_ Mbedu.jpg
Lukas, Gage,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Lukas_ Gage.jpg
M., Night Shyamalan,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/M._ Night Shyamalan.jpg
Penn, Badgley,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Penn_ Badgley.jpg
Sadie, Sink,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Sadie_ Sink.jpg
Jennifer, Connelly,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Jennifer_ Connelly.jpg
Michelle, Yeoh,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Michelle_ Yeoh.jpg
Colin, Farrell,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Colin_ Farrell.jpg
Tom, Hanks,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Tom_ Hanks.jpg
Henry, Cavill,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Henry_ Cavill.jpg
Miles, Teller,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Miles_ Teller.jpg
Ray, Liotta,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Ray_ Liotta.jpg
Keanu, Reeves,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Keanu_ Reeves.jpg
Zoe, Chao,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Zoe_ Chao.jpg
Sylvester, Stallone,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Sylvester_ Stallone.jpg
Lily, James,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Lily_ James.jpg
Jennifer, Coolidge,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Jennifer_ Coolidge.jpg
Chase, Stokes,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Chase_ Stokes.jpg
Hong, Chau,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Hong_ Chau.jpg
Elizabeth, Lail,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Elizabeth_ Lail.jpg
Sebastian, Stan,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Sebastian_ Stan.jpg
Jennifer, Lawrence,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Jennifer_ Lawrence.jpg
Sophie, Turner,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Sophie_ Turner.jpg
Riley, Keough,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Riley_ Keough.jpg
Jeffrey, Pierce,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Jeffrey_ Pierce.jpg
Emma, Watson,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Emma_ Watson.jpg
Victoria, Justice,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Victoria_ Justice.jpg
Christian, Bale,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Christian_ Bale.jpg
Sofia, Boutella,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Sofia_ Boutella.jpg
Dakota, Fanning,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Dakota_ Fanning.jpg
Haley, Lu Richardson,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Haley_ Lu Richardson.jpg
Stefanie, Martini,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Stefanie_ Martini.jpg
Emma, Mackey,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Emma_ Mackey.jpg
Mï¿½lanie, Laurent,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos\Melanie_ Laurent.jpg
