First Name,Last Name,White,Black,Asian,Other,Highest Prob. Score
A.J. Alexy,,0.09829220175743103,0.005806114990264177,0.8495430847979151,0.046358625404536724,Asian
A.J. Ladwig,,0.17799077928066254,0.08958747237920761,0.4075560141354799,0.3248656913638115,Asian
Aaron Ashby,,0.3949044644832611,0.011101888492703438,0.033700945088639855,0.560292661190033,Other
Aaron Brooks,,0.8909714818000793,0.00021989695960655808,0.0021249038945825305,0.10668377205729485,White
Aaron Bummer,,0.5373647212982178,0.033246222883462906,0.2223743856884539,0.20701472461223602,White
Aaron Civale,,0.05298713222146034,0.13551411032676697,0.08124547312036157,0.7302532568573952,Other
Aaron Fletcher,,0.001764885731972754,0.3640412390232086,0.5180352004244924,0.1161587123060599,Asian
Aaron Hicks,,0.00017005678091663867,0.2725597620010376,0.7038605778943747,0.023409612942487,Asian
Aaron Judge,,0.009692683815956116,0.0017745220102369785,0.9683760164771229,0.020156798826064914,Asian
Abraham Almonte,,6.655701326963026e-06,0.998945415019989,0.000864210171130253,0.00018366348649578867,Black
Adam Cimber,,0.4625474512577057,0.22111177444458008,0.12185781402513385,0.19448290020227432,White
Adam Duvall,,0.1237146258354187,0.003058054018765688,0.09980930900201201,0.773418053984642,Other
Adam Engel,,0.4566061794757843,0.018343063071370125,0.06269040727056563,0.46236035227775574,Other
Adam Frazier,,0.529827356338501,0.00041542126564309,0.03676339902449399,0.4329937770962715,White
Adam Haseley,,0.29834216833114624,0.003851607209071517,0.00382561914739199,0.6939806044101715,Other
Adam Kolarek,,0.8499024510383606,0.0022212257608771324,0.007040783180855215,0.14083557203412056,White
Adbert Alzolay,,0.03190112113952637,0.003711202647536993,0.8373195570893586,0.1270681070163846,Asian
Adolis Garc�a,,3.671606827992946e-05,0.9951322674751282,0.004442530902451836,0.00038842651792947436,Black
Adrian Houser,,0.42995667457580566,0.009744666516780853,0.100496097933501,0.45980254560709,Other
Akil Baddoo,,2.809887519106269e-06,0.9987635612487793,0.0010966187746817013,0.00013703361037187278,Black
Albert Abreu,,0.000896284356713295,0.2107524424791336,0.6779909231700003,0.11036034015705809,Asian
