script,id,firstName,lastName,raceEthnicityAlt,raceEthnicity,score,raceEthnicitiesTop,probabilityCalibrated,probabilityAltCalibrated
LATIN,f37c2c2b-80b9-4db3-9a0a-d57c9e3eda10,Ryan,Jeffers,B_NL,W_NL,2.9233111261120377,"['W_NL', 'B_NL', 'A', 'HL']",0.5481783229610336,0.9255649527365764
LATIN,7b797c52-042e-4c31-b9b5-38182325203c,Tanner,Banks,W_NL,B_NL,7.964574246730433,"['B_NL', 'W_NL', 'A', 'HL']",0.7496513925053446,0.9602605414262516
LATIN,e5b63c56-22f8-4dc8-973b-bfaa5e40f9ad,Freddy,Fermin,A,HL,23.668313155904432,"['HL', 'A', 'B_NL', 'W_NL']",0.9418739247191762,0.9758978725656371
LATIN,e1953d27-caa3-4876-b738-9022de5ebc67,Clint,Frazier,W_NL,B_NL,2.143889116408998,"['B_NL', 'W_NL', 'A', 'HL']",0.5185322086513078,0.9529169219097223
LATIN,49205c4f-2789-4e81-97e4-ae363d29a0be,Andrew,Wantz,A,W_NL,11.2057443059085,"['W_NL', 'A', 'B_NL', 'HL']",0.8350401164544934,0.9125533579251661
LATIN,3f768122-6374-4727-b6ea-417445ffd402,Austin,Slater,B_NL,W_NL,4.425912179446488,"['W_NL', 'B_NL', 'A', 'HL']",0.6158234424948493,0.9462619277112453
LATIN,dc49408f-a223-4648-8e09-e7761248f906,Michael,Plassmeyer,HL,W_NL,13.970377070173155,"['W_NL', 'HL', 'B_NL', 'A']",0.8805203364143168,0.9474284106658057
LATIN,b16f0f70-f90e-4344-a7ec-60de3213f0d6,Noah,Davis,W_NL,B_NL,4.4854103764279785,"['B_NL', 'W_NL', 'A', 'HL']",0.6179117209059191,0.9421635648061302
LATIN,bb7f4bdb-c8be-4e14-9de9-87c8f5d1a444,Josh,Hader,A,W_NL,10.951445705743607,"['W_NL', 'A', 'B_NL', 'HL']",0.8302725966050445,0.9044120781035092
LATIN,ddf6f747-c89f-4bb5-9d06-d927f355b1b9,Erasmo,Ramírez,A,HL,48.07739590749218,"['HL', 'A', 'B_NL', 'W_NL']",0.9727340270379703,0.9868888242142025
