First Name,Last Name,White,Black,Asian,Other,Highest Prob. Score,Ground_Truth
Phillip_Diehl,,0.999332845,3.93E-07,1.86E-05,0.000648146,White,White
Phil_Bickford,,0.996402025,2.76E-06,5.17E-05,0.003543472,White,White
Phil_Gosselin,,0.998399317,3.35E-07,1.23E-05,0.001588139,White,White
Phil_Maton,,0.995282471,1.36E-07,3.50E-05,0.004682395,White,White
Phoenix_Sanders,,0.772479177,8.44E-05,0.001388215,0.226048131,White,White
Pierce_Johnson,,0.999704778,8.90E-08,1.21E-05,0.000283041,White,White
R.J._Alvarez,,0.039375685,0.000153436,0.343396158,0.617074713,Other,Other
Rafael_Devers,,0.000206176,0.828777969,0.154930349,0.016085466,Black,Black
Rafael_Montero,,2.86E-06,0.996181011,0.00360097,0.000215196,Black,Black
Rafael_Ortega,,0.009612628,6.08E-05,0.941397879,0.048928774,Asian,Other
Raimel_Tapia,,8.47E-07,0.999635696,0.000313519,4.98E-05,Black,Black
Raisel_Iglesias,,5.38E-06,0.995895386,0.00375414,0.000345192,Black,Black
Ralph_Garza Jr.,,0.042404518,0.000114224,0.053221336,0.904259965,Other,Other
Ramón_Laureano,,0.023776924,0.437360793,0.04184808,0.497014225,Other,Other
Ramón_Urías,,0.080598809,0.001648173,0.236905101,0.680847906,Other,Other
Randal_Grichuk,,0.891096532,9.38E-06,0.003920208,0.10497389,White,White
Randy_Arozarena,,1.98E-07,0.998559535,0.001422515,1.78E-05,Black,Black
Ranger_Suárez,,0.000500051,0.000335324,0.994126406,0.005038237,Asian,Other
Raynel_Espinal,,0.028336398,0.030995796,0.049343544,0.891324268,Other,Other
Ray_Kerr,,0.004349898,0.126318201,0.177497148,0.691834729,Other,Other
Reed_Garrett,,0.998202801,4.26E-07,6.13E-05,0.001735598,White,White
Reese_McGuire,,0.94350642,8.78E-06,0.006465861,0.050019035,White,White
Reid_Detmers,,0.999295712,1.28E-06,5.60E-05,0.00064695,White,White
Reiss_Knehr,,0.996426642,2.11E-06,7.59E-05,0.003495334,White,White
Reiver_Sanmartin,,3.25E-07,0.999920726,5.49E-05,2.40E-05,Black,Black
René_Pinto,,0.000291713,0.006051295,0.979867375,0.013789604,Asian,Other
Reyes_Moronta,,0.003400825,0.000982922,0.902233226,0.093382999,Asian,Other
Reynaldo_López,,9.56E-05,0.975907028,0.020899957,0.003097452,Black,Black
Rhys_Hoskins,,0.999031901,3.88E-07,3.11E-05,0.000936562,White,White
Richard_Bleier,,0.443071038,6.99E-05,0.010120786,0.546738237,Other,White
Richie_Martin,,0.002038851,0.642656386,0.150843331,0.204461432,Black,Black
Richie_Palacios,,0.01314998,0.536548376,0.039004506,0.411297082,Black,Black
Rich_Hill,,0.995733559,3.68E-07,0.000319408,0.003946793,White,White
Rico_Garcia,,0.022504704,0.002348951,0.173798895,0.801347423,Other,Other
Riley_Adams,,0.963454664,2.82E-05,0.000654426,0.035862825,White,White
Riley_Greene,,0.074959025,0.000677601,0.06096172,0.863401733,Other,Other
Riley_O'Brien,,0.004763056,6.19E-06,0.989612293,0.005618578,Asian,Other
Roansy_Contreras,,3.98E-05,0.99645716,0.001203493,0.002299505,Black,Black
Robbie_Erlin,,0.99936825,1.12E-07,7.34E-06,0.00062432,White,White
Robbie_Grossman,,0.999759138,4.66E-08,1.55E-05,0.00022524,White,White
Robbie_Ray,,0.927555799,1.11E-05,0.000530469,0.071902612,White,White
