Name,First_name,Last_name,Href,Player_headshot
Michael Siani,Michael,Siani,/player/michael-siani-672279,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/672279/headshot/67/current"
Magneuris Sierra,Magneuris,Sierra,/player/magneuris-sierra-642423,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/642423/headshot/67/current"
Chase Silseth,Chase,Silseth,/player/chase-silseth-681217,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/681217/headshot/67/current"
Andrelton Simmons,Andrelton,Simmons,/player/andrelton-simmons-592743,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/592743/headshot/67/current"
Lucas Sims,Lucas,Sims,/player/lucas-sims-608371,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/608371/headshot/67/current"
Brady Singer,Brady,Singer,/player/brady-singer-663903,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/663903/headshot/67/current"
Jose Siri,Jose,Siri,/player/jose-siri-642350,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/642350/headshot/67/current"
Tarik Skubal,Tarik,Skubal,/player/tarik-skubal-669373,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/669373/headshot/67/current"
Austin Slater,Austin,Slater,/player/austin-slater-596103,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/596103/headshot/67/current"
Ethan Small,Ethan,Small,/player/ethan-small-663629,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/663629/headshot/67/current"
Devin Smeltzer,Devin,Smeltzer,/player/devin-smeltzer-656970,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/656970/headshot/67/current"
Drew Smith,Drew,Smith,/player/drew-smith-622098,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/622098/headshot/67/current"
Caleb Smith,Caleb,Smith,/player/caleb-smith-592761,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/592761/headshot/67/current"
