First Name,Last Name,White,Black,Asian,Other,Highest Prob. Score
caeleb,dressel,0.9996243715286255,1.5940591993057751e-06,7.812778903826256e-06,0.00036626691871788353,White
emma,mckeon,0.9957411289215088,1.0048890544567257e-05,1.990928558370797e-05,0.004228981211781502,White
kaylee,mckeown,0.7541300058364868,9.671903535490856e-05,0.0010811036627274007,0.24469211138784885,White
elaine,thompson-herah,1.5872922176640714e-06,0.9999535083770752,1.9085196072410326e-05,2.585314109637693e-05,Black
lisa,carrington,0.936784029006958,0.00086972676217556,0.014352337748277932,0.04799387790262699,White
san,an,0.0013760797446593642,3.4851686905312818e-06,0.9984039584396669,0.00021642148203682154,Asian
katie,ledecky,0.884467363357544,1.6590894347245921e-06,7.32127996343479e-05,0.11545766517519951,White
yufei,zhang,0.1500830054283142,0.0001711864024400711,0.8079829211346805,0.041762995067983866,Asian
ariarne,titmus,0.9651157855987549,1.7580805433681235e-05,0.0001062893015841837,0.034760378184728324,White
vitalina,batsarashkina,0.8034842014312744,0.00023996116942726076,0.04755695353378542,0.14871883764863014,White
daiki,hashimoto,0.00020804179075639695,1.990638793358812e-06,0.9994229213443759,0.00036703098157886416,Asian
adam,peaty,0.999311089515686,3.1039317036629654e-06,0.00011656110200419789,0.0005692780105164275,White
evgeny,rylov,0.21581412851810455,0.00019368749053683132,0.0018716263803071342,0.7821205882355571,Other
sifan,hassan,1.1693865417328198e-05,0.9936696887016296,0.004912300908472389,0.0014063892085687257,Black
yui,ohashi,0.0028812000527977943,2.528417098801583e-06,0.9918808931397507,0.005235510936472565,Asian
sofia,pozdniakova,0.7440574169158936,0.0034583769738674164,0.0343879871070385,0.21809624135494232,White
svetlana,kolesnichenko,0.9841514825820923,1.3339023098524194e-05,0.0001236339130628039,0.01571150729432702,White
qian,yang,0.0002508093893993646,1.2754887393384706e-05,0.9988230723683955,0.0009132207424045191,Asian
sydney,mclaughlin,0.03813248127698898,0.005242313724011183,0.701770233688876,0.25485506653785706,Asian
robert,finke,0.999924898147583,5.6783296287221674e-08,1.4381778754568586e-06,7.359021765296347e-05,White
athing,mu,0.009270260110497475,0.9174880385398865,0.05810506432317197,0.015136570669710636,Black
tingmao,shi,0.0005000622477382421,2.1242647562758066e-05,0.9988329940169933,0.0006456648743551341,Asian
lamont,marcell,0.0038476011250168085,0.0023853371385484934,0.004224447184242308,0.9895426109433174,Other
long,ma,0.00012669236457441002,1.2369252999633318e-06,0.9997058516032666,0.0001661463247728534,Asian
meng,chen,0.0028968744445592165,2.516304266464431e-05,0.9958410387625918,0.001236898053321056,Asian
clarisse,agbegnenou,3.6165872074889194e-08,0.9999934434890747,4.844499351008835e-06,1.6833545117833637e-06,Black
svetlana,romashina,0.9991808533668518,2.2961646664043656e-06,6.819343798269983e-05,0.0007487584080081433,White
je,deok,0.003992970567196608,0.00026819028425961733,0.9690355905331671,0.0267033064737916,Asian
sunisa,lee,0.047656383365392685,0.00012314388004597276,0.8938185492297634,0.058401941787451506,Asian
ryan,murphy,0.9988340735435486,5.247163699095836e-06,0.00011210966749786166,0.0010486745741218328,White
mima,ito,0.0005896723014302552,2.3634274839423597e-05,0.9981258729094407,0.0012608581455424428,Asian
andre,de,0.007552949711680412,0.6219562292098999,0.12893770586924802,0.24155307048931718,Black
margaret,mac,0.0002782211231533438,9.675175078882603e-07,0.9994352051799069,0.000285638967397972,Asian
joshua,kiprui,8.882101951712684e-07,0.9999312162399292,5.600528356808354e-05,1.1784517937485361e-05,Black
akira,sone,0.0006631435244344175,1.7402996945747873e-06,0.9980632436454471,0.0012718325560854282,Asian
sofiya,velikaya,0.6370783448219299,0.0007091566803865135,0.0006528754202008713,0.3615597262978554,White
rai,benjamin,4.5809545554220676e-05,0.9990622401237488,0.00010804085150084575,0.000783882406722114,Black
yuan,cao,0.0003197675396222621,1.3515516002371442e-05,0.9990287965338212,0.0006379947371897288,Asian
rebeca,andrade,0.0006313762278296053,0.9347467422485352,0.025899457243212964,0.0387223563157022,Black
hifumi,abe,0.0003015634138137102,1.441694621462375e-05,0.999061797709146,0.0006222695810720325,Asian
dalilah,muhammad,3.3179635465785395e-06,0.999468982219696,0.0003979115986112447,0.00012975164827366825,Black
inna,deriglazova,0.9916623830795288,2.534627355998964e-06,3.28429512137518e-05,0.008302259724587202,White
jason,kenny,0.9988419413566589,8.602485195297049e-07,2.2117380638064787e-06,0.001155133079009829,White
kristof,kristof,0.09978988766670227,2.9879545309086097e-06,0.0004920964420307428,0.8997149486094713,Other
uta,abe,0.0019805380143225193,3.437925624893978e-05,0.9889025860466063,0.009082516357011627,Asian
takanori,nagase,5.457745646708645e-05,1.0898686468863161e-06,0.9998136151007202,0.0001305831690388004,Asian
laura,kenny,0.9938399195671082,5.313161182129988e-07,4.055829464277849e-06,0.006155559596663807,White
xin,xu,0.00028842652682214975,9.584354302205611e-06,0.9991404194224742,0.0005615812551695853,Asian
isabell,werth,0.9986996650695801,6.273617714214197e-07,0.00011783861828007502,0.0011818492785096169,White
zhendong,fan,0.00022709289623890072,6.775933798053302e-06,0.9988511701048992,0.0009148683911917033,Asian
belinda,bencic,0.9780478477478027,2.377824785071425e-06,2.7254421866018674e-05,0.021922604995779693,White
aaron,wolf,0.14608895778656006,0.00019332701049279422,0.5693047512322664,0.2844129507429898,Asian
shohei,ono,0.007683224510401487,0.00015238019113894552,0.9709514983696863,0.02121287933550775,Asian
shelly-ann,fraser-pryce,9.33138437630987e-07,0.999832034111023,0.00014404177989035816,2.2923253254703013e-05,Black
denis,ablyazin,0.9984026551246643,3.693696726259077e-06,1.2473448350647232e-05,0.0015811384655535221,White
brianna,throssell,0.9597010016441345,0.0012978611048310995,0.0015810316108400002,0.03742014151066542,White
shericka,jackson,8.460330747084299e-08,0.9999915361404419,2.2795703245037657e-06,6.05229422134812e-06,Black
nikita,nagornyy,0.868058979511261,6.8564900175260846e-06,0.00027428091379988473,0.131659863749519,White
angelina,melnikova,0.8307816386222839,0.03061036765575409,0.012872482184320688,0.1257356097921729,White
larisa,korobeynikova,0.09522154182195663,0.003370161633938551,0.8278007712215185,0.07360750436782837,Asian
jessica,fox,0.993766188621521,8.019364940992091e-06,0.0001276492403121665,0.006098201498389244,White
emily,seebohm,0.8616195917129517,1.3141592717147432e-05,0.00023577936644869624,0.13813140033744276,White
jingyuan,zou,0.004853255581110716,1.1602998711168766e-05,0.9917705334810307,0.003364593838341534,Asian
thomas,daley,0.9527442455291748,3.1986055546440184e-05,0.000157734159984102,0.047065988183021545,White
danuta,kozak,0.9996552467346191,2.8641554195019125e-07,2.800566761607115e-06,0.0003417261614231393,White
izaac,stubblety-cook,0.9989135265350342,1.073859721145709e-06,3.952088263758924e-05,0.0010458265314809978,White
aron,szilagyi,0.04764449596405029,0.0019932175055146217,0.39342066430981504,0.5569416359066963,Other
madison,wilson,0.9657409191131592,0.00043086311779916286,0.00015212064590741647,0.03367610368877649,White
teddy,riner,2.7283526833343785e-06,0.9997127652168274,0.00024576952373678296,3.863856846919589e-05,Black
allyson,felix,7.996020030986983e-06,0.9994640946388245,0.00017616836885281373,0.0003516633735216601,Black
david,belyavskiy,0.9609709978103638,3.187475613231072e-06,7.849588746466907e-05,0.03894725159625523,White
bakhodir,jalolov,0.11250729113817215,0.00018240211647935212,0.5016926588141359,0.3856175970286131,Asian
soufiane,elbakkali,0.8586885333061218,3.158130493829958e-05,0.004793377454916481,0.13648657873272896,White
chase,kalisz,0.9685119986534119,0.00012768566375598311,0.00016498252989549655,0.031195446150377393,White
italo,ferreira,0.2300357073545456,0.0009227984701283276,0.012864968770372798,0.756176583468914,Other
ryutaro,umeno,0.0032612732611596584,0.00030570983653888106,0.9742685919627547,0.02216442284407094,Asian
kahena,kunze,0.9960344433784485,1.0963625754811801e-05,3.1948776268109214e-05,0.003922699659597129,White
jeahwan,shin,0.000994501868262887,9.602855243429076e-06,0.9983983613201417,0.0005976204556645826,Asian
vladislav,larin,0.4619150757789612,0.00032241258304566145,0.0015237751431413926,0.5362386982887983,Other
emmanuel,kipkurui,9.090510388887196e-07,0.9997217059135437,0.0002705067085457813,6.91873576386115e-06,Black
diana,taurasi,0.6325559616088867,0.00026689618243835866,0.0012926994659210322,0.3658843906596303,White
alexander,zverev,0.9216410517692566,8.719116158317775e-05,0.000225429826969048,0.07804628694429994,White
daniel,stahl,0.8607782125473022,0.015362542122602463,0.021391702415712643,0.10246764868497849,White
linoy,ashram,0.8436524271965027,1.6362862425012281e-06,5.251653783489019e-05,0.15629344945773482,White
sosuke,genda,0.0025544059462845325,0.00015017057012300938,0.9952383691925206,0.002057008881820366,Asian
hayato,sakamoto,0.0024965626653283834,0.0004506681580096483,0.9905918025833671,0.00646093024261063,Asian
suguru,iwazaki,0.00015714358596596867,1.8278534525961732e-06,0.9996996980562471,0.00014131095667835325,Asian
anders,berntsen,0.9977990984916687,1.0700889561121585e-06,4.385761485536932e-06,0.002195427121478133,White
jakob,ingebrigtsen,0.9991115927696228,4.978314791515004e-07,4.508919414547563e-05,0.0008429174195043743,White
enzo,lefort,3.2375296541431453e-06,0.9996293783187866,0.0002281555462104734,0.00013931922967458377,Black
jade,carey,0.5078814625740051,0.030620742589235306,0.2679442837834358,0.1935535091906786,White
artur,dalaloyan,0.8731030225753784,7.449471740983427e-05,0.0019187674115528353,0.12490368820726871,White
christine,sinclair,0.9925763607025146,7.805117093084846e-06,0.00025136917929557967,0.00716458517126739,White
faith,chepngetich,8.117926313389034e-07,0.9998238682746887,0.000137807334340323,3.765633800867363e-05,Black
sakura,yosozumi,0.00023265690833795816,4.045092282467522e-05,0.9995242244949623,0.00020269913602533052,Asian
nikola,karabatic,0.16170111298561096,1.7020503946696408e-05,0.0002282235218444839,0.8380536678014323,Other
viktoria,listunova,0.9969688057899475,9.532308467896655e-06,6.278274622673052e-05,0.0029589776240754873,White
dani,alves,0.06944645196199417,0.5961527824401855,0.0340281930330093,0.3003725539892912,Black
sue,bird,0.8854621648788452,0.00023784559743944556,0.002684385806787759,0.1116156056523323,White
