First Name,Last Name,White,Black,Asian,Other,Highest Prob. Score,Filler,Image
victoria,carl,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/victoria_carl.jpg
yiming,su,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/yiming_su.jpg
ivanie,blondin,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/ivanie_blondin.jpg
shaoang,liu,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/shaoang_liu.jpg
oskar,eriksson,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/oskar_eriksson.jpg
michelle,gisin,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/michelle_gisin.jpg
hallgeir,engebraaten,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/hallgeir_engebraaten.jpg
kexin,fan,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/kexin_fan.jpg
lara,gut,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/lara_gut.jpg
max,parrot,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/max_parrot.jpg
denise,herrmann,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/denise_herrmann.jpg
nika,kriznar,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/nika_kriznar.jpg
anastasia,mishina,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/anastasia_mishina.jpg
mathilde,gremaud,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/mathilde_gremaud.jpg
aleksandr,galliamov,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/aleksandr_galliamov.jpg
yulia,stupak,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/yulia_stupak.jpg
matthias,mayer,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/matthias_mayer.jpg
vetle,sjaastad,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/vetle_sjaastad.jpg
ireen,wüst,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/ireen_wüst.jpg
chunyu,qu,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/chunyu_qu.jpg
yara,van,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/yara_van.jpg
alexander,hall,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/alexander_hall.jpg
mona,brorsson,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/mona_brorsson.jpg
amos,mosaner,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/amos_mosaner.jpg
benjamin,karl,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/benjamin_karl.jpg
charles,hamelin,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/charles_hamelin.jpg
erik,valnes,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/erik_valnes.jpg
natalie,spooner,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/natalie_spooner.jpg
alessandro,haemmerle,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/alessandro_haemmerle.jpg
sandra,naeslund,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/sandra_naeslund.jpg
walter,wallberg,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/walter_wallberg.jpg
sarah,nurse,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/sarah_nurse.jpg
tingyu,gao,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/tingyu_gao.jpg
mikko,lehtonen,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/mikko_lehtonen.jpg
chloe,kim,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/chloe_kim.jpg
erin,jackson,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/erin_jackson.jpg
harri,sateri,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/harri_sateri.jpg
clement,noel,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/clement_noel.jpg
christopher,grotheer,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/christopher_grotheer.jpg
nick,baumgartner,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/nick_baumgartner.jpg
joonas,nattinen,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/joonas_nattinen.jpg
valtteri,filppula,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/valtteri_filppula.jpg
sergey,ustiugov,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/sergey_ustiugov.jpg
valerie,maltais,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/valerie_maltais.jpg
jamie,lee,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/jamie_lee.jpg
katharina,truppe,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/katharina_truppe.jpg
brianne,jenner,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/brianne_jenner.jpg
petra,vlhova,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/petra_vlhova.jpg
kjeld,nuis,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/kjeld_nuis.jpg
stefan,brennsteiner,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/stefan_brennsteiner.jpg
jan,hoerl,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/jan_hoerl.jpg
justine,braisaz,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/justine_braisaz.jpg
anna,gasser,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/anna_gasser.jpg
sami,vatanen,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/sami_vatanen.jpg
jussi,olkinuora,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/jussi_olkinuora.jpg
nico,porteous,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/nico_porteous.jpg
sverre,lunde,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/sverre_lunde.jpg
laura,nolte,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/laura_nolte.jpg
beat,feuz,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/beat_feuz.jpg
deborah,levi,,,,,,,/Users/ethan/Desktop/Research/Webscrape Olympians/Automated_2022_Olympians/deborah_levi.jpg
