First Name,Last Name,Score,Prob,ProbAlt,Race,Alt
caeleb,dressel,13.646321765105839,0.8744598734702503,0.9091379602380891,White,Asian
emma,mckeon,3.0633777012027172,0.5567789237207913,0.7983776564553557,White,Black
kaylee,mckeown,4.251591529546711,0.6089587840883329,0.9165253088965931,White,Black
elaine,thompson-herah,5.7728583355874905,0.6681423502704296,0.7583510809150894,Black,White
lisa,carrington,1.6566998879367363,0.49614871565826585,0.8503007897568098,Black,White
san,an,31.541486457040683,0.949150478458384,0.9798203757222994,Asian,White
katie,ledecky,12.848850560664316,0.8663300366386488,0.9031620168365283,White,Black
yufei,zhang,59.22125138709826,0.9727340270379703,0.9868888242142025,Asian,White
ariarne,titmus,6.637342488574104,0.7044948120783449,0.8997364221544566,White,Black
vitalina,batsarashkina,7.56960400288443,0.7352834828636124,0.8282688599212236,White,Black
daiki,hashimoto,32.53605429517898,0.9494345124769834,0.9868888242142025,Asian,Black
adam,peaty,8.134910214794427,0.754298505397186,0.9026522035061445,White,Black
evgeny,rylov,38.12595543866295,0.9727340270379703,0.9868888242142025,White,Asian
sifan,hassan,5.482506475674337,0.6578942536889261,0.8797177556889897,Asian,White
yui,ohashi,45.08743553914913,0.9727340270379703,0.9868888242142025,Asian,White
sofia,pozdniakova,10.217386116352907,0.8084949335519962,0.9605912009000832,White,Other
svetlana,kolesnichenko,33.249471816013696,0.9495142413243095,0.9834563209849776,White,Asian
qian,yang,62.81215822205046,0.9727340270379703,0.9868888242142025,Asian,Black
sydney,mclaughlin,3.961363110311215,0.5946093838334815,0.9472803785063868,Black,White
robert,finke,17.86675734491331,0.9205346157444486,0.9606998441544213,White,Black
athing,mu,29.680195159992916,0.9467062909825419,0.9794643521637562,Asian,Black
tingmao,shi,38.68395979322492,0.9727340270379703,0.9868888242142025,Asian,Black
lamont,marcell,10.224526861269897,0.8085871583066631,0.9679996761042788,Black,White
long,ma,47.43968489981192,0.9727340270379703,0.9868888242142025,Asian,Black
meng,chen,59.81637462800183,0.9727340270379703,0.9868888242142025,Asian,Black
clarisse,agbegnenou,23.823480522182923,0.9419968116198484,0.9695384947622315,Black,White
svetlana,romashina,17.216594974311842,0.9176564415864004,0.9641266805258998,White,Other
je,deok,14.652454540498637,0.8928848806356866,0.9154857166475194,Asian,White
sunisa,lee,21.342315399896577,0.9346615100644184,0.9674619165471414,Asian,Black
ryan,murphy,7.771764709145286,0.743342497518343,0.9258323867532641,White,Black
mima,ito,29.901795485758075,0.9472818335991775,0.9797440849597544,Asian,Black
