First Name,Last Name,White,Black,Asian,Other,Highest Prob. Score
johannes,thingnes,0.9181471467018127,9.34986564971041e-06,8.204601363104302e-05,0.08176148065831512,White
alexander,bolshunov,0.9958434700965881,5.4363085837394465e-06,3.98409165427438e-05,0.00411123369121924,White
marte,olsbu,0.9992101192474365,2.6870657166000456e-07,0.00010873239267539248,0.0006809176556998864,White
irene,schouten,0.8919333219528198,1.457296730222879e-05,0.0014098307729000226,0.10664222948253155,White
therese,johaug,0.999840497970581,7.775832955303486e-07,1.1924721718514775e-05,0.0001467648835387081,White
quentin,fillon,0.9699081182479858,4.971339876647107e-05,0.0005806311964988708,0.029461613856256008,White
suzanne,schulting,0.9304528832435608,1.9473576685413718e-05,0.0002829257173289079,0.06924472562968731,White
johannes,hoesflot,0.7242248058319092,8.208176586776972e-05,0.002909813745645806,0.27278338093310595,White
tarjei,boe,0.999718964099884,3.247202755574108e-07,1.5000151392996486e-05,0.0002657354198163375,White
johannes,strolz,0.9906949996948242,1.3989855688123498e-05,9.223659071722068e-05,0.00919872778467834,White
joergen,graabak,0.9525133371353149,1.110278390115127e-06,2.626496643642895e-05,0.04745929024647921,White
ailing,eileen,0.3951311707496643,0.0036107562482357025,0.06051886221393943,0.5407392168417573,Other
nils,van,0.9879464507102966,1.6891286804820993e-06,0.00013648157755596912,0.011915303533896804,White
tobias,arlt,0.8002426624298096,1.0303651833964977e-05,0.0008635736321593868,0.19888345268554986,White
johannes,ludwig,0.6427385210990906,1.9640327082015574e-05,0.00042924776062136516,0.35681268107146025,White
natalie,geisenberger,0.9797776341438293,2.0892512111458927e-06,0.0004969617148162797,0.019723296049050987,White
tobias,wendl,0.6376325488090515,0.0007527662673965096,0.02423292958701495,0.3373817950487137,White
thorsten,margis,0.9657930731773376,1.3779620076093124e-06,3.634714767031255e-05,0.03416929894592613,White
francesco,friedrich,0.9659513235092163,1.3010899237997364e-05,0.00017756483975972515,0.03385823266580701,White
lindsey,jacobellis,0.9832744002342224,3.683517934405245e-05,5.33952470505028e-05,0.01663538522552699,White
ursa,bogataj,0.9496039152145386,3.6553479731082916e-05,0.0006561937043443322,0.04970335029065609,White
miho,takagi,0.00018144721980206668,3.196937086613616e-06,0.9995992191543337,0.00021624728492497525,Asian
arianna,fontana,0.9991273283958435,4.864158995587786e-07,6.831920757122134e-06,0.0008653832264826633,White
minjeong,choi,0.0002344236709177494,2.6561831418803195e-06,0.9996927631445942,7.011481056906632e-05,Asian
elvira,oeberg,0.9703871607780457,0.00045262594358064234,0.02061581672387547,0.0085444669239223,White
iivo,niskanen,0.9898154735565186,2.0022382159368135e-05,0.0012273765350983012,0.008937135804444551,White
isabelle,weidemann,0.9859366416931152,2.083251956719323e-06,6.431005931517575e-05,0.013997055124491453,White
jonna,sundling,0.9327989816665649,1.3840455721947365e-05,0.057773887951043434,0.009413332678377628,White
steven,dubois,0.056491754949092865,0.0125607680529356,0.008252888335846364,0.9226945526897907,Other
tiril,eckhoff,0.6388075947761536,0.0008631759556010365,0.0039033725624904037,0.35642586648464203,White
natalia,nepryaeva,0.340702086687088,0.00010721769649535418,0.007151546829845756,0.6520391888916492,Other
victoria,sinitsina,0.6426084041595459,2.4422848582617007e-05,0.0002943213839898817,0.3570728152990341,White
katharina,liensberger,0.9758914709091187,7.165304509726411e-07,0.0005262245203994098,0.02358159067807719,White
thomas,krol,0.9843994379043579,8.067716521509283e-07,7.728204127488425e-05,0.015522557485383004,White
daeheon,hwang,0.0023511149920523167,6.589561508008046e-06,0.997072516795015,0.0005697372307622572,Asian
vinzenz,geiger,0.9965898990631104,4.58733211416984e-07,1.3523774896384566e-05,0.0033961097797146067,White
ryoyu,kobayashi,0.00041483770473860204,3.181803913321346e-05,0.9988431511665112,0.0007101959017745685,Asian
peter,prevc,0.9994519352912903,1.1533734323165845e-07,1.7278530322073493e-06,0.000546295013919007,White
denis,spitsov,0.9459120035171509,8.855999112711288e-06,0.0006037740222382126,0.05347527998674195,White
mengtao,xu,0.0022952083963900805,1.1010812158929184e-05,0.9970958228495874,0.0005979618581477553,Asian
jens,luraas,0.9910879731178284,2.9634771635755897e-05,0.0005445362257887609,0.008337817853316665,White
guangpu,qi,0.0009116130531765521,1.1939772775804158e-05,0.9988070482950206,0.0002693525734684954,Asian
nikita,katsalapov,0.9926514029502869,3.0890355446899775e-06,6.383011879051992e-06,0.00733907546964474,White
zoi,sadowski,0.9991902709007263,7.69369307818124e-06,3.8918486097827554e-05,0.000763105577789247,White
nathan,chen,0.0001816869480535388,8.903844718588516e-05,0.9982633328763768,0.001465963177906815,Asian
manuel,fettner,0.99607253074646,3.3458034067734843e-06,2.395551905465254e-05,0.003900209121638909,White
katharina,hennig,0.9967663288116455,2.8074823603674304e-06,5.766057506662037e-05,0.0031732526040286757,White
timi,zajc,0.042028557509183884,6.962141583244374e-07,0.0009099551325562061,0.9570607974892482,Other
victoria,carl,0.9503735303878784,0.0001221829152200371,0.0010311674268450588,0.04847307875752449,White
yiming,su,0.0007247477187775075,2.72886136372108e-05,0.9983369614346884,0.0009110118753596907,Asian
ivanie,blondin,0.9989651441574097,6.742383789060113e-07,8.178177222362137e-05,0.0009523898916086182,White
shaoang,liu,0.19142714142799377,9.123449126491323e-05,0.017552842968143523,0.7909287959337234,Other
oskar,eriksson,0.9844627380371094,1.4291364095697645e-05,0.00013202927584643476,0.015391005668789148,White
michelle,gisin,0.985767126083374,4.2372736061224714e-05,0.0005895643225812819,0.013600969687104225,White
hallgeir,engebraaten,0.9998034834861755,1.5066022740484186e-07,1.1259754387538123e-05,0.00018508106950321235,White
kexin,fan,0.00013592639879789203,1.1630193057499127e-06,0.9995904909483215,0.0002723837988014566,Asian
lara,gut,0.8512367010116577,0.00020987151947338134,0.1177388480573427,0.03081461228430271,White
max,parrot,0.2535550594329834,0.029893627390265465,0.04691639286465943,0.6696349084377289,Other
denise,herrmann,0.9985438585281372,7.894400937402679e-07,2.509184560040012e-05,0.001430274140147958,White
nika,kriznar,0.9997556805610657,9.729209438091857e-08,1.2620335610336042e-05,0.00023164430240285583,White
anastasia,mishina,0.9852693676948547,3.4513482205511536e-07,3.459630761426524e-05,0.014695721154566854,White
mathilde,gremaud,0.8065774440765381,0.00012643243826460093,0.002180535564548336,0.19111552089452744,White
aleksandr,galliamov,0.8769974708557129,4.283995076548308e-05,0.00044216140304342844,0.12251743767410517,White
yulia,stupak,0.9705225825309753,3.0915728075342486e-06,0.000145347548823338,0.029328959120903164,White
matthias,mayer,0.029306039214134216,2.694522649449027e-08,1.7206244621092992e-05,0.9706767389016022,Other
vetle,sjaastad,0.9900890588760376,5.420880188466981e-05,0.0018203812451247359,0.00803636375349015,White
ireen,wüst,0.9992998838424683,5.942914640399977e-07,3.704101118273684e-05,0.000662379345158115,White
chunyu,qu,0.13916029036045074,0.008935347199440002,0.8293228088878095,0.022581515833735466,Asian
yara,van,0.9924077987670898,2.532516418796149e-07,6.246063458092976e-05,0.007529481081292033,White
