Name,Href,player_headshot
Josh Lowe,/player/josh-lowe-666139,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/666139/headshot/67/current"
Jed Lowrie,/player/jed-lowrie-476704,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/476704/headshot/67/current"
Zac Lowther,/player/zac-lowther-675912,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/675912/headshot/67/current"
Lucas Luetge,/player/lucas-luetge-476595,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/476595/headshot/67/current"
Seth Lugo,/player/seth-lugo-607625,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/607625/headshot/67/current"
Jordan Luplow,/player/jordan-luplow-656669,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/656669/headshot/67/current"
Gavin Lux,/player/gavin-lux-666158,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/666158/headshot/67/current"
Jesús Luzardo,/player/jesus-luzardo-666200,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/666200/headshot/67/current"
Jordan Lyles,/player/jordan-lyles-543475,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/543475/headshot/67/current"
Daniel Lynch,/player/daniel-lynch-663738,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/663738/headshot/67/current"
Lance Lynn,/player/lance-lynn-458681,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/458681/headshot/67/current"
David MacKinnon,/player/david-mackinnon-676950,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/676950/headshot/67/current"
Andrés Machado,/player/andres-machado-600921,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/600921/headshot/67/current"
Dixon Machado,/player/dixon-machado-553988,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/553988/headshot/67/current"
Manny Machado,/player/manny-machado-592518,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/592518/headshot/67/current"
Vimael Machín,/player/vimael-machin-605353,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/605353/headshot/67/current"
Nick Madrigal,/player/nick-madrigal-663611,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/663611/headshot/67/current"
Bligh Madris,/player/bligh-madris-676632,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/676632/headshot/67/current"
Tyler Mahle,/player/tyler-mahle-641816,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/641816/headshot/67/current"
Luke Maile,/player/luke-maile-571912,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/571912/headshot/67/current"
Martín Maldonado,/player/martin-maldonado-455117,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/455117/headshot/67/current"
Sean Manaea,/player/sean-manaea-640455,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/640455/headshot/67/current"
Trey Mancini,/player/trey-mancini-641820,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/641820/headshot/67/current"
Matt Manning,/player/matt-manning-666159,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/666159/headshot/67/current"
Alek Manoah,/player/alek-manoah-666201,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/666201/headshot/67/current"
Joe Mantiply,/player/joe-mantiply-573009,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/573009/headshot/67/current"
Tucupita Marcano,/player/tucupita-marcano-672779,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/672779/headshot/67/current"
Manuel Margot,/player/manuel-margot-622534,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/622534/headshot/67/current"
Ron Marinaccio,/player/ron-marinaccio-676760,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/676760/headshot/67/current"
Jake Marisnick,/player/jake-marisnick-545350,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/545350/headshot/67/current"
Parker Markel,/player/parker-markel-571917,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/571917/headshot/67/current"
Germán Márquez,/player/german-marquez-608566,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/608566/headshot/67/current"
Deven Marrero,/player/deven-marrero-571918,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/571918/headshot/67/current"
Brandon Marsh,/player/brandon-marsh-669016,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/669016/headshot/67/current"
José Marte,/player/jose-marte-665896,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/665896/headshot/67/current"
Ketel Marte,/player/ketel-marte-606466,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/606466/headshot/67/current"
Starling Marte,/player/starling-marte-516782,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/516782/headshot/67/current"
Yunior Marte,/player/yunior-marte-628708,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/628708/headshot/67/current"
Brett Martin,/player/brett-martin-656685,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/656685/headshot/67/current"
Chris Martin,/player/chris-martin-455119,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/455119/headshot/67/current"
Corbin Martin,/player/corbin-martin-656686,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/656686/headshot/67/current"
Davis Martin,/player/davis-martin-663436,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/663436/headshot/67/current"
Richie Martin,/player/richie-martin-621006,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/621006/headshot/67/current"
Adrián Martínez,/player/adrian-martinez-661309,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/661309/headshot/67/current"
J.D. Martinez,/player/j-d-martinez-502110,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/502110/headshot/67/current"
Nick Martinez,/player/nick-martinez-607259,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/607259/headshot/67/current"
Seth Martinez,/player/seth-martinez-661527,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/661527/headshot/67/current"
Michael Massey,/player/michael-massey-686681,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/686681/headshot/67/current"
Miles Mastrobuoni,/player/miles-mastrobuoni-670156,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/670156/headshot/67/current"
Jorge Mateo,/player/jorge-mateo-622761,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/622761/headshot/67/current"
Mark Mathias,/player/mark-mathias-664029,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/664029/headshot/67/current"
J.J. Matijevic,/player/j-j-matijevic-656695,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/656695/headshot/67/current"
Nick Maton,/player/nick-maton-665155,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/665155/headshot/67/current"
Phil Maton,/player/phil-maton-664208,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/664208/headshot/67/current"
Steven Matz,/player/steven-matz-571927,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/571927/headshot/67/current"
Tyler Matzek,/player/tyler-matzek-554431,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/554431/headshot/67/current"
Dustin May,/player/dustin-may-669160,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/669160/headshot/67/current"
Trevor May,/player/trevor-may-543507,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/543507/headshot/67/current"
Mike Mayers,/player/mike-mayers-594577,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/594577/headshot/67/current"
Jack Mayfield,/player/jack-mayfield-608686,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/608686/headshot/67/current"
Tim Mayza,/player/tim-mayza-641835,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/641835/headshot/67/current"
Nomar Mazara,/player/nomar-mazara-608577,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/608577/headshot/67/current"
Patrick Mazeika,/player/patrick-mazeika-664850,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/664850/headshot/67/current"
Chris Mazza,/player/chris-mazza-607391,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/607391/headshot/67/current"
James McCann,/player/james-mccann-543510,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/543510/headshot/67/current"
Jake McCarthy,/player/jake-mccarthy-664983,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/664983/headshot/67/current"
Kirk McCarty,/player/kirk-mccarty-668948,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/668948/headshot/67/current"
Shane McClanahan,/player/shane-mcclanahan-663556,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/663556/headshot/67/current"
Chas McCormick,/player/chas-mccormick-676801,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/676801/headshot/67/current"
Lance McCullers Jr.,/player/lance-mccullers-jr-621121,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/621121/headshot/67/current"
Andrew McCutchen,/player/andrew-mccutchen-457705,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/457705/headshot/67/current"
