Name,First_name,Last_name,Href,Player_headshot
Javy Guerra,Javy,Guerra,/player/javy-guerra-642770,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/642770/headshot/67/current"
Vladimir Guerrero Jr.,Vladimir,Guerrero Jr.,/player/vladimir-guerrero-jr-665489,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/665489/headshot/67/current"
Luis Guillorme,Luis,Guillorme,/player/luis-guillorme-641645,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/641645/headshot/67/current"
Lourdes Gurriel Jr.,Lourdes,Gurriel Jr.,/player/lourdes-gurriel-jr-666971,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/666971/headshot/67/current"
Yuli Gurriel,Yuli,Gurriel,/player/yuli-gurriel-493329,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/493329/headshot/67/current"
Jandel Gustave,Jandel,Gustave,/player/jandel-gustave-594311,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/594311/headshot/67/current"
Dalton Guthrie,Dalton,Guthrie,/player/dalton-guthrie-656495,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/656495/headshot/67/current"
Kelvin Gutiérrez,Kelvin,Gutiérrez,/player/kelvin-gutierrez-642721,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/642721/headshot/67/current"
Vladimir Gutierrez,Vladimir,Gutierrez,/player/vladimir-gutierrez-661269,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/661269/headshot/67/current"
Ronald Guzmán,Ronald,Guzmán,/player/ronald-guzman-608597,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/608597/headshot/67/current"
Eric Haase,Eric,Haase,/player/eric-haase-606992,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/606992/headshot/67/current"
Josh Hader,Josh,Hader,/player/josh-hader-623352,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/623352/headshot/67/current"
Jake Hager,Jake,Hager,/player/jake-hager-606993,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/606993/headshot/67/current"
Sam Haggerty,Sam,Haggerty,/player/sam-haggerty-664059,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/664059/headshot/67/current"
Darick Hall,Darick,Hall,/player/darick-hall-669742,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/669742/headshot/67/current"
DL Hall,DL,Hall,/player/dl-hall-669084,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/669084/headshot/67/current"
Billy Hamilton,Billy,Hamilton,/player/billy-hamilton-571740,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/571740/headshot/67/current"
Caleb Hamilton,Caleb,Hamilton,/player/caleb-hamilton-643348,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/643348/headshot/67/current"
Ian Hamilton,Ian,Hamilton,/player/ian-hamilton-641656,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/641656/headshot/67/current"
Garrett Hampson,Garrett,Hampson,/player/garrett-hampson-641658,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/641658/headshot/67/current"
Brad Hand,Brad,Hand,/player/brad-hand-543272,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/543272/headshot/67/current"
Mitch Haniger,Mitch,Haniger,/player/mitch-haniger-571745,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/571745/headshot/67/current"
Ian Happ,Ian,Happ,/player/ian-happ-664023,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/664023/headshot/67/current"
Bryce Harper,Bryce,Harper,/player/bryce-harper-547180,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/547180/headshot/67/current"
Michael Harris II,Michael,Harris II,/player/michael-harris-ii-671739,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/671739/headshot/67/current"
Josh Harrison,Josh,Harrison,/player/josh-harrison-543281,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/543281/headshot/67/current"
Monte Harrison,Monte,Harrison,/player/monte-harrison-656509,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/656509/headshot/67/current"
